Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data,Fortune Brands Innovations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.87,,25.18
2024-06-30,64.75,$3.53,18.34
2024-03-31,84.13,$3.27,25.73
2023-12-31,75.43,$3.17,23.8
2023-09-30,61.37,$3.38,18.16
2023-06-30,70.79,$3.88,18.24
2023-03-31,57.57,$4.54,12.68
2022-12-31,55.77,$5.22,10.68
2022-09-30,52.21,$5.65,9.24
2022-06-30,57.99,$5.53,10.49
2022-03-31,71.65,$5.62,12.75
2021-12-31,102.78,$5.54,18.55
2021-09-30,85.76,$5.42,15.82
2021-06-30,95.28,$5.14,18.54
2021-03-31,91.43,$4.42,20.69
2020-12-31,81.54,$3.93,20.75
2020-09-30,82.07,$3.51,23.38
2020-06-30,60.47,$3.09,19.57
2020-03-31,40.75,$3.23,12.62
2019-12-31,61.33,$3.06,20.04
2019-09-30,51.17,$2.92,17.52
2019-06-30,53.21,$2.86,18.6
2019-03-31,44.15,$2.77,15.94
2018-12-31,35.07,$2.66,13.18
2018-09-30,48.33,$2.89,16.72
2018-06-30,49.37,$3.03,16.3
2018-03-31,53.97,$3.05,17.69
2017-12-31,62.52,$3.06,20.43
2017-09-30,61.25,$2.90,21.12
2017-06-30,59.26,$2.84,20.87
2017-03-31,55.12,$2.74,20.12
2016-12-31,48.27,$2.59,18.64
2016-09-30,52.31,$2.46,21.27
2016-06-30,52.06,$2.35,22.15
2016-03-31,50.19,$2.03,24.73
2015-12-31,49.56,$1.93,25.68
2015-09-30,42.28,$1.67,25.32
2015-06-30,40.69,$0.88,46.24
2015-03-31,42.04,$0.95,44.25
2014-12-31,39.96,$0.94,42.51
2014-09-30,36.19,$1.03,35.14
2014-06-30,35.06,$1.53,22.91
2014-03-31,36.83,$1.35,27.28
2013-12-31,39.9,$1.33,30.0
2013-09-30,36.26,$1.07,33.89
2013-06-30,33.65,$0.94,35.8
2013-03-31,32.44,$0.86,37.72
2012-12-31,25.32,$0.72,35.17
2012-09-30,23.41,$0.17,137.7
2012-06-30,19.3,$0.06,321.68
