Immunovant PE Ratio Historical Data,Immunovant PE Ratio Historical Data,Immunovant PE Ratio Historical Data,Immunovant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.26,,0.0
2024-06-30,26.4,$-1.93,0.0
2024-03-31,32.31,$-1.90,0.0
2023-12-31,42.13,$-1.84,0.0
2023-09-30,38.39,$-1.97,0.0
2023-06-30,18.97,$-1.93,0.0
2023-03-31,15.51,$-1.71,0.0
2022-12-31,17.75,$-1.66,0.0
2022-09-30,5.58,$-1.53,0.0
2022-06-30,3.9,$-1.47,0.0
2022-03-31,5.51,$-1.43,0.0
2021-12-31,8.52,$-1.31,0.0
2021-09-30,8.69,$-1.27,0.0
2021-06-30,10.57,$-1.17,0.0
2021-03-31,16.04,$-1.24,0.0
2020-12-31,46.19,$-1.33,0.0
