SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data,SS&C Technologies Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.38,,27.77
2024-06-30,62.46,$2.75,22.71
2024-03-31,63.9,$2.51,25.46
2023-12-31,60.44,$2.38,25.4
2023-09-30,51.74,$2.42,21.38
2023-06-30,59.43,$2.42,24.56
2023-03-31,55.18,$2.33,23.68
2022-12-31,50.7,$2.48,20.44
2022-09-30,46.33,$2.61,17.75
2022-06-30,56.14,$2.69,20.87
2022-03-31,72.3,$2.98,24.26
2021-12-31,78.8,$2.99,26.35
2021-09-30,66.53,$2.79,23.85
2021-06-30,68.94,$2.70,25.53
2021-03-31,66.7,$2.63,25.36
2020-12-31,69.28,$2.35,29.48
2020-09-30,57.52,$2.15,26.75
2020-06-30,53.56,$1.91,28.04
2020-03-31,41.47,$1.72,24.11
2019-12-31,57.97,$1.66,34.92
2019-09-30,48.59,$1.35,35.99
2019-06-30,54.16,$1.22,44.4
2019-03-31,59.77,$0.50,119.54
2018-12-31,42.27,$0.43,98.29
2018-09-30,53.25,$0.97,54.89
2018-06-30,48.56,$1.04,46.69
2018-03-31,50.12,$1.55,32.34
2017-12-31,37.77,$1.54,24.53
2017-09-30,37.4,$1.05,35.62
2017-06-30,35.71,$0.94,37.99
2017-03-31,32.86,$0.84,39.12
2016-12-31,26.5,$0.65,41.09
2016-09-30,29.73,$0.43,69.95
2016-06-30,25.92,$0.06,471.2
2016-03-31,29.21,$0.14,216.35
2015-12-31,31.38,$0.25,125.51
2015-09-30,32.13,$0.40,80.34
2015-06-30,28.62,$0.82,34.91
2015-03-31,28.47,$0.76,37.71
2014-12-31,26.68,$0.76,35.33
2014-09-30,19.97,$0.70,28.53
2014-06-30,20.12,$0.72,28.14
2014-03-31,18.21,$0.72,25.47
2013-12-31,20.14,$0.70,28.98
2013-09-30,17.34,$0.64,27.3
2013-06-30,14.97,$0.49,30.86
2013-03-31,13.64,$0.30,46.24
2012-12-31,10.51,$0.28,38.2
2012-09-30,11.47,$0.26,44.12
2012-06-30,11.37,$0.25,46.43
2012-03-31,10.61,$0.36,29.49
2011-12-31,8.22,$0.31,26.51
2011-09-30,6.5,$0.29,22.42
2011-06-30,9.04,$0.27,34.12
2011-03-31,9.29,$0.22,43.21
2010-12-31,9.33,$0.23,41.47
