Alkermes PE Ratio Historical Data,Alkermes PE Ratio Historical Data,Alkermes PE Ratio Historical Data,Alkermes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.33,,16.86
2024-06-30,24.1,$1.68,14.35
2024-03-31,27.07,$2.53,10.7
2023-12-31,27.74,$2.07,13.4
2023-09-30,28.01,$1.24,22.59
2023-06-30,31.3,$0.57,54.91
2023-03-31,28.19,$-0.99,0.0
2022-12-31,26.13,$-0.96,0.0
2022-09-30,22.33,$-0.78,0.0
2022-06-30,29.79,$-0.57,0.0
2022-03-31,26.31,$-0.38,0.0
2021-12-31,23.26,$-0.43,0.0
2021-09-30,30.84,$-0.44,0.0
2021-06-30,24.52,$-0.45,0.0
2020-12-31,19.95,$-0.70,0.0
2020-09-30,16.57,$-0.46,0.0
2020-06-30,19.41,$-0.60,0.0
2020-03-31,14.42,$-0.75,0.0
2019-12-31,20.4,$-0.78,0.0
2021-03-31,18.68,$-1.37,0.0
2019-09-30,19.51,$-1.29,0.0
2019-06-30,22.54,$-1.17,0.0
2019-03-31,36.49,$-1.11,0.0
2018-12-31,29.51,$-0.89,0.0
2018-09-30,42.44,$-0.89,0.0
2018-06-30,41.16,$-0.91,0.0
2018-03-31,57.96,$-0.98,0.0
2017-12-31,54.73,$-1.03,0.0
2017-09-30,50.84,$-1.11,0.0
2017-06-30,57.97,$-1.28,0.0
2017-03-31,58.5,$-1.31,0.0
2016-12-31,55.58,$-1.37,0.0
2016-09-30,47.03,$-1.69,0.0
2016-06-30,43.22,$-1.82,0.0
2016-03-31,34.19,$-1.82,0.0
2015-12-31,79.38,$-1.52,0.0
2015-09-30,58.67,$-0.86,0.0
2015-06-30,64.34,$-0.59,0.0
2015-03-31,60.97,$-0.26,0.0
2014-12-31,58.56,$-0.22,0.0
2014-09-30,42.87,$-0.30,0.0
2014-06-30,50.33,$-0.09,0.0
2014-03-31,44.09,$-0.06,0.0
2013-12-31,40.66,$0.13,312.77
2013-09-30,33.62,$0.13,258.62
2013-06-30,28.68,$0.06,478.0
2013-03-31,23.7,$0.18,131.67
2012-12-31,18.52,$-0.33,0.0
2012-09-30,20.75,$-0.56,0.0
2012-06-30,16.97,$-0.65,0.0
2012-03-31,18.55,$-0.96,0.0
2011-12-31,17.36,$-0.47,0.0
2011-09-30,15.25,$-0.48,0.0
2011-06-30,18.6,$-0.34,0.0
2011-03-31,12.95,$-0.34,0.0
2010-12-31,12.28,$-0.34,0.0
2010-09-30,14.65,$-0.29,0.0
2010-06-30,12.45,$-0.30,0.0
2010-03-31,12.97,$-0.27,0.0
2009-12-31,9.41,$-0.27,0.0
