Kadant Inc PE Ratio Historical Data,Kadant Inc PE Ratio Historical Data,Kadant Inc PE Ratio Historical Data,Kadant Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,334.68,,34.43
2024-06-30,293.19,$9.72,30.16
2024-03-31,327.1,$9.60,34.07
2023-12-31,279.15,$9.90,28.2
2023-09-30,224.33,$9.80,22.89
2023-06-30,220.6,$9.52,23.17
2023-03-31,206.81,$9.22,22.43
2022-12-31,175.92,$8.89,19.79
2022-09-30,164.93,$8.41,19.61
2022-06-30,180.04,$8.02,22.45
2021-12-31,227.0,$7.21,31.48
2021-09-30,200.76,$6.54,30.7
2021-06-30,172.97,$6.07,28.5
2021-03-31,181.48,$5.11,35.51
2020-12-31,138.06,$4.77,28.94
2020-09-30,107.13,$4.13,25.94
2020-06-30,97.18,$4.26,22.81
2020-03-31,72.55,$4.68,15.5
2019-12-31,102.16,$5.20,19.65
2019-09-30,84.91,$6.08,13.96
2019-06-30,87.6,$5.75,15.23
2018-12-31,78.38,$5.29,14.82
2018-09-30,103.54,$3.75,27.61
2018-06-30,92.09,$3.07,30.0
2018-03-31,90.3,$3.16,28.58
2017-12-31,95.73,$2.92,32.78
2019-03-31,84.64,$3.65,23.19
2017-09-30,93.77,$3.38,27.74
2017-06-30,71.35,$3.03,23.55
2017-03-31,56.12,$3.06,18.34
2016-12-31,57.69,$2.88,20.03
2016-09-30,48.93,$3.13,15.63
2016-06-30,48.2,$3.09,15.6
2016-03-31,42.08,$3.10,13.57
2015-12-31,37.67,$3.10,12.15
2015-09-30,36.04,$2.98,12.09
2015-06-30,43.44,$2.80,15.51
2015-03-31,48.27,$2.74,17.62
2014-12-31,39.03,$2.57,15.19
2014-09-30,35.55,$2.27,15.66
2014-06-30,34.87,$2.24,15.57
2014-03-31,32.93,$2.05,16.07
2013-12-31,36.48,$2.07,17.62
2013-09-30,30.12,$2.38,12.65
2013-06-30,26.94,$2.55,10.57
2013-03-31,22.21,$2.60,8.54
2012-12-31,23.55,$2.73,8.63
2012-09-30,20.6,$2.90,7.1
2012-06-30,20.84,$2.86,7.29
2012-03-31,21.16,$2.89,7.32
2011-12-31,20.09,$5.82,3.45
2011-09-30,15.78,$5.29,2.98
2011-06-30,28.0,$5.01,5.59
2022-03-31,191.47,$4.78,40.06
2011-03-31,23.27,$1.67,13.93
2010-12-31,20.94,$1.49,14.05
2010-09-30,16.8,$0.93,18.07
2010-06-30,15.48,$0.56,27.64
2010-03-31,12.8,$0.04,320.08
2009-12-31,14.18,$-0.48,0.0
