Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data,Donaldson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.72,,22.11
2024-07-31,74.54,$3.38,22.05
2024-04-30,71.66,$3.23,22.19
2024-01-31,63.87,$3.07,20.81
2023-10-31,56.79,$2.96,19.19
2023-07-31,61.64,$2.91,21.18
2023-04-30,62.08,$2.97,20.9
2023-01-31,60.69,$2.88,21.07
2022-10-31,55.71,$2.75,20.26
2022-07-31,52.55,$2.66,19.75
2022-04-30,47.15,$2.51,18.79
2022-01-31,53.3,$2.50,21.32
2021-10-31,57.25,$2.37,24.16
2021-07-31,62.94,$2.24,28.1
2021-04-30,59.58,$2.08,28.65
2021-01-31,56.13,$1.92,29.24
2020-10-31,44.68,$1.98,22.57
2020-07-31,45.29,$2.01,22.53
2020-04-30,40.88,$1.96,20.86
2020-01-31,48.17,$2.04,23.61
2019-10-31,48.81,$2.00,24.4
2019-07-31,46.02,$2.05,22.45
2019-04-30,49.12,$2.38,20.64
2019-01-31,43.21,$2.33,18.54
2018-10-31,46.68,$1.47,31.75
2018-07-31,43.24,$1.42,30.45
2018-04-30,39.97,$1.09,36.67
2018-01-31,45.57,$0.91,50.08
2017-07-31,42.4,$1.74,24.37
2017-04-30,41.16,$1.67,24.65
2017-01-31,37.42,$1.68,22.27
2016-10-31,32.22,$1.74,18.51
2016-07-31,31.72,$1.59,19.95
2017-10-31,42.31,$1.44,29.38
2016-04-30,28.55,$1.39,20.54
2016-01-31,24.47,$1.31,18.68
2015-10-31,26.08,$1.38,18.9
2015-07-31,28.87,$1.49,19.37
2015-04-30,31.96,$1.58,20.22
2015-01-31,31.13,$1.71,18.2
2014-10-31,35.25,$1.75,20.14
2014-07-31,32.75,$1.76,18.61
2014-04-30,35.39,$1.74,20.34
2014-01-31,34.58,$1.74,19.87
2013-10-31,33.09,$1.69,19.58
2013-07-31,30.17,$1.64,18.4
2013-04-30,30.17,$1.63,18.51
2013-01-31,31.11,$1.63,19.09
2012-10-31,26.62,$1.64,16.23
2012-07-31,28.08,$1.73,16.23
2012-04-30,28.45,$1.68,16.93
2012-01-31,29.61,$1.62,18.33
2011-10-31,26.17,$1.55,16.94
2011-07-31,22.56,$1.42,15.89
2011-04-30,24.87,$1.31,18.99
2011-01-31,23.75,$1.11,21.4
2010-07-31,19.14,$1.05,18.23
2010-04-30,18.62,$0.88,21.27
2010-01-31,15.33,$0.91,16.94
2009-10-31,14.26,$0.88,16.21
2009-07-31,15.15,$0.88,17.32
