Fidelity National Financial PE Ratio Historical Data,Fidelity National Financial PE Ratio Historical Data,Fidelity National Financial PE Ratio Historical Data,Fidelity National Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.66,,19.28
2024-06-30,49.03,$3.25,15.09
2023-12-31,49.64,$1.91,25.99
2023-09-30,39.79,$2.41,16.51
2023-06-30,34.32,$1.75,19.61
2023-03-31,32.87,$1.99,16.52
2022-12-31,34.93,$3.58,9.76
2024-03-31,52.16,$4.73,11.03
2022-09-30,33.2,$5.69,5.84
2022-06-30,33.53,$7.21,4.65
2022-03-31,43.78,$7.76,5.64
2021-12-31,46.37,$8.44,5.49
2021-09-30,39.94,$9.30,4.29
2021-06-30,37.96,$8.02,4.73
2021-03-31,35.24,$7.21,4.89
2020-12-31,33.59,$4.91,6.84
2020-09-30,26.66,$3.40,7.84
2020-06-30,25.85,$3.01,8.59
2020-03-31,20.76,$2.86,7.26
2019-12-31,37.4,$3.82,9.79
2019-09-30,36.37,$2.76,13.18
2019-06-30,32.77,$2.71,12.09
2019-03-31,29.49,$2.65,11.13
2018-12-31,25.14,$2.26,11.13
2018-09-30,31.18,$2.98,10.46
2018-06-30,29.59,$2.75,10.76
2018-03-31,31.23,$2.48,12.59
2017-12-31,30.38,$2.96,10.26
2017-09-30,26.7,$2.66,10.04
2017-06-30,25.08,$2.71,9.26
2016-12-31,18.77,$2.34,8.02
2016-09-30,20.25,$2.02,10.02
2016-06-30,20.45,$1.69,12.1
2016-03-31,18.38,$1.55,11.86
2015-12-31,18.67,$1.85,10.09
2017-03-31,21.66,$1.64,13.21
2015-09-30,18.98,$1.74,10.91
2015-06-30,19.68,$1.61,12.23
2015-03-31,19.46,$1.46,13.33
2014-12-31,18.14,$1.08,16.8
2014-09-30,14.52,$1.03,14.1
2014-06-30,17.04,$1.06,16.08
2014-03-31,16.35,$1.26,12.98
2013-12-31,16.88,$1.73,9.76
2013-09-30,13.75,$2.09,6.58
2013-06-30,12.23,$2.69,4.55
2013-03-31,12.87,$2.73,4.72
2012-12-31,11.94,$2.67,4.47
2012-09-30,10.77,$2.79,3.86
2012-06-30,9.63,$2.09,4.61
2012-03-31,8.95,$1.80,4.97
2011-12-31,7.84,$1.66,4.73
2011-09-30,7.42,$1.46,5.08
2011-06-30,7.63,$1.49,5.12
2011-03-31,6.8,$1.74,3.91
2010-12-31,6.53,$1.85,3.53
2010-09-30,7.4,$1.59,4.65
2010-06-30,6.04,$1.63,3.71
2009-12-31,6.12,$0.96,6.37
2009-09-30,6.78,$0.73,9.29
