FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data,FS KKR Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.47,,9.06
2024-06-30,19.04,$2.26,8.42
2024-03-31,17.73,$2.40,7.39
2023-12-31,17.85,$2.49,7.17
2023-09-30,16.95,$2.41,7.03
2023-06-30,15.91,$1.01,15.75
2023-03-31,14.76,$0.24,61.5
2022-12-31,13.43,$0.32,41.98
2022-09-30,12.54,$0.72,17.42
2022-06-30,13.92,$2.12,6.56
2022-03-31,15.79,$3.99,3.96
2021-12-31,14.08,$4.36,3.23
2021-09-30,14.38,$5.42,2.65
2021-03-31,12.24,$4.03,3.04
2020-12-31,9.93,$-3.18,0.0
2020-09-30,9.2,$-4.54,0.0
2020-06-30,7.82,$-0.49,0.0
2020-03-31,6.47,$0.51,12.69
2019-12-31,12.48,$6.87,1.82
2021-06-30,13.63,$7.83,1.74
2019-09-30,11.52,$0.36,31.99
2019-06-30,11.4,$-0.40,0.0
2019-03-31,11.22,$-1.68,0.0
2018-12-31,9.32,$-2.24,0.0
2018-09-30,12.11,$-0.28,0.0
2018-06-30,12.29,$1.32,9.31
2018-03-31,11.83,$2.16,5.48
2017-12-31,11.68,$3.00,3.89
2017-09-30,13.1,$3.60,3.64
2017-06-30,13.81,$4.08,3.38
2017-03-31,14.44,$6.08,2.37
2016-12-31,14.83,$4.84,3.07
2016-09-30,13.34,$2.72,4.9
2016-06-30,12.45,$0.76,16.38
2016-03-31,12.31,$-0.72,0.0
2015-12-31,11.78,$0.64,18.41
2015-09-30,11.92,$1.76,6.77
2015-06-30,12.31,$2.76,4.46
2015-03-31,12.42,$3.00,4.14
