Celsius Holdings PE Ratio Historical Data,Celsius Holdings PE Ratio Historical Data,Celsius Holdings PE Ratio Historical Data,Celsius Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.18,,31.65
2024-06-30,57.09,$1.02,56.15
2024-03-31,82.92,$0.91,91.12
2023-12-31,54.52,$0.77,70.5
2023-09-30,57.2,$0.48,119.17
2023-06-30,49.73,$-0.64,0.0
2023-03-31,30.98,$-0.77,0.0
2022-12-31,34.68,$-0.87,0.0
2022-09-30,30.23,$-0.70,0.0
2022-06-30,21.75,$0.13,167.33
2022-03-31,18.39,$0.11,172.38
2021-12-31,24.86,$0.08,310.71
2021-09-30,30.03,$0.04,818.26
2021-06-30,25.36,$0.05,543.11
2021-03-31,16.02,$0.04,436.42
2020-12-31,16.77,$0.04,456.95
2020-09-30,7.57,$0.02,324.89
2020-06-30,3.92,$0.01,294.98
2020-03-31,1.4,$-0.00,0.0
2019-12-31,1.61,$0.06,28.45
2019-09-30,1.16,$0.06,20.46
2019-06-30,1.48,$0.02,74.37
2019-03-31,1.42,$0.01,0.0
2018-12-31,1.16,$-0.08,0.0
2018-09-30,1.34,$-0.11,0.0
2018-06-30,1.53,$-0.10,0.0
2018-03-31,1.45,$-0.07,0.0
