FTI Consulting PE Ratio Historical Data,FTI Consulting PE Ratio Historical Data,FTI Consulting PE Ratio Historical Data,FTI Consulting PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,229.71,,25.0
2024-06-30,215.53,$9.19,23.45
2024-03-31,210.29,$8.60,24.45
2023-12-31,199.15,$7.71,25.83
2023-09-30,178.41,$6.76,26.39
2023-06-30,190.2,$6.57,28.95
2023-03-31,197.35,$6.25,31.58
2022-12-31,158.8,$6.57,24.17
2022-09-30,165.71,$6.31,26.26
2022-06-30,180.85,$6.12,29.55
2022-03-31,157.22,$6.46,24.34
2021-12-31,153.42,$6.64,23.11
2021-09-30,134.7,$7.14,18.87
2021-06-30,136.61,$6.53,20.92
2021-03-31,140.11,$6.03,23.24
2020-12-31,111.72,$5.68,19.67
2020-09-30,105.97,$4.87,21.76
2020-06-30,114.55,$5.11,22.42
2020-03-31,119.77,$5.53,21.66
2019-12-31,110.66,$5.68,19.48
2019-09-30,105.99,$5.53,19.17
2019-06-30,83.84,$5.08,16.5
2019-03-31,76.82,$4.53,16.96
2018-12-31,66.64,$3.93,16.96
2018-09-30,73.19,$5.10,14.35
2018-06-30,60.48,$4.81,12.57
2018-03-31,48.41,$3.54,13.68
2017-12-31,42.96,$2.84,15.13
2017-09-30,35.48,$1.23,28.85
2017-06-30,34.96,$1.02,34.27
2017-03-31,41.17,$1.88,21.9
2016-12-31,45.08,$1.79,25.18
2016-06-30,40.68,$1.87,21.75
2016-03-31,35.51,$1.75,20.29
2015-12-31,34.66,$1.59,21.8
2015-09-30,41.51,$1.36,30.52
2015-06-30,41.24,$1.66,24.84
2015-03-31,37.46,$1.56,24.01
2014-12-31,38.63,$1.44,26.83
2014-09-30,34.96,$1.24,28.19
2014-06-30,37.82,$1.21,31.26
2014-03-31,33.34,$-0.50,0.0
2013-12-31,41.14,$-0.37,0.0
2016-09-30,44.56,$0.39,114.26
2013-09-30,37.8,$-2.28,0.0
2013-06-30,32.89,$-0.44,0.0
2013-03-31,37.66,$-0.84,0.0
2012-12-31,33.0,$-0.99,0.0
2012-09-30,26.68,$2.09,12.77
2012-06-30,28.75,$2.24,12.83
2012-03-31,37.52,$2.46,15.25
2011-12-31,42.42,$2.51,16.9
2011-09-30,36.81,$1.81,20.34
2011-06-30,37.94,$1.58,24.01
2011-03-31,38.33,$1.70,22.55
2010-12-31,37.28,$1.51,24.69
2010-09-30,34.69,$1.99,17.43
2010-06-30,43.59,$2.22,19.64
2010-03-31,39.32,$2.39,16.45
2009-12-31,47.16,$2.70,17.47
