Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1305.59,,24.14
2024-06-30,1084.52,$54.08,20.05
2024-03-31,845.53,$48.56,17.41
2023-12-31,909.57,$43.47,20.92
2023-09-30,622.93,$48.00,12.98
2023-06-30,622.15,$50.83,12.24
2023-03-31,522.95,$48.40,10.8
2022-12-31,497.29,$45.77,10.87
2022-09-30,399.41,$35.22,11.34
2022-06-30,546.75,$29.91,18.28
2022-03-31,481.48,$24.44,19.7
2021-12-31,599.77,$20.17,29.74
2021-09-30,381.58,$25.16,15.17
2021-06-30,389.03,$23.35,16.66
2021-03-31,279.15,$22.42,12.45
2020-12-31,257.14,$18.30,14.05
2020-09-30,232.2,$10.17,22.83
2020-06-30,220.87,$6.04,36.57
2020-03-31,200.74,$3.49,57.52
2019-12-31,273.2,$-0.94,0.0
2019-09-30,291.99,$2.83,103.18
2019-06-30,287.31,$1.03,278.94
2018-12-31,169.97,$-2.13,0.0
2018-09-30,174.41,$9.06,19.25
2018-06-30,129.06,$5.64,22.88
2018-03-31,164.67,$7.91,20.82
2017-12-31,205.04,$10.11,20.28
2019-03-31,276.14,$1.26,219.16
2017-09-30,205.28,$4.29,47.85
2017-06-30,217.53,$4.91,44.3
2017-03-31,195.58,$5.90,33.15
2016-12-31,169.54,$5.36,31.63
2016-09-30,140.2,$3.52,39.83
2016-06-30,139.3,$3.79,36.76
2016-03-31,150.68,$5.01,30.08
2015-12-31,171.88,$6.33,27.15
2015-09-30,181.91,$6.19,29.39
2015-06-30,141.88,$4.75,29.87
2015-03-31,105.94,$3.34,31.72
2014-12-31,82.29,$3.36,24.49
2014-09-30,69.56,$2.54,27.39
2014-06-30,68.42,$2.98,22.96
2014-03-31,78.69,$2.71,29.04
2013-12-31,67.52,$2.97,22.74
2013-09-30,57.49,$3.67,15.67
2013-06-30,55.98,$3.02,18.54
2013-03-31,54.99,$2.97,18.51
2012-12-31,60.39,$2.65,22.79
2012-09-30,61.62,$3.51,17.55
2012-06-30,57.94,$3.62,16.01
2011-12-31,52.35,$3.10,16.89
2011-09-30,49.38,$3.31,14.92
2011-06-30,60.01,$2.74,21.9
2011-03-31,59.06,$3.22,18.34
2010-12-31,48.89,$3.89,12.57
2012-03-31,56.33,$3.99,14.12
2010-09-30,46.35,$3.72,12.46
2010-06-30,41.76,$3.71,11.26
2010-03-31,50.89,$3.72,13.68
2009-12-31,46.62,$4.14,11.26
