Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data,Assured Guaranty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.58,,7.12
2024-06-30,76.84,$12.30,6.25
2024-03-31,86.55,$12.95,6.68
2023-12-31,73.98,$12.40,5.97
2023-09-30,59.58,$7.52,7.92
2023-06-30,54.68,$5.10,10.72
2023-03-31,48.99,$2.30,21.3
2022-12-31,60.38,$1.94,31.13
2022-09-30,46.79,$4.16,11.25
2022-06-30,53.64,$4.20,12.77
2022-03-31,60.94,$6.23,9.78
2021-12-31,47.85,$5.39,8.88
2021-09-30,44.44,$3.47,12.81
2021-06-30,44.87,$4.27,10.51
2021-03-31,39.77,$5.08,7.83
2020-12-31,29.47,$4.35,6.78
2020-09-30,19.98,$3.95,5.06
2020-06-30,22.51,$3.63,6.2
2020-03-31,23.59,$2.92,8.08
2019-12-31,44.61,$4.03,11.07
2019-09-30,40.31,$3.44,11.72
2019-06-30,38.0,$4.21,9.03
2019-03-31,39.95,$3.49,11.45
2018-12-31,34.42,$4.65,7.4
2018-09-30,37.82,$4.26,8.88
2018-06-30,31.88,$4.51,7.07
2018-03-31,32.15,$5.08,6.33
2017-12-31,29.94,$5.89,5.08
2017-09-30,33.25,$6.94,4.79
2017-06-30,36.64,$8.82,4.15
2017-03-31,32.46,$8.67,3.74
2016-12-31,32.92,$6.61,4.98
2016-09-30,24.1,$8.15,2.96
2016-06-30,21.93,$5.43,4.04
2016-03-31,21.75,$6.30,3.45
2015-12-31,22.61,$7.15,3.16
2015-09-30,21.29,$7.40,2.88
2015-06-30,20.34,$8.61,2.36
2015-03-31,22.28,$7.54,2.96
2014-12-31,21.84,$6.49,3.37
2014-09-30,18.54,$5.11,3.63
2014-06-30,20.41,$5.11,3.99
2014-03-31,21.0,$5.38,3.9
2013-12-31,19.47,$4.41,4.42
2013-09-30,15.41,$2.89,5.33
2013-06-30,18.04,$1.53,11.79
2013-03-31,16.79,$2.38,7.05
2012-12-31,11.53,$0.47,24.54
2012-09-30,10.96,$-0.37,0.0
2012-06-30,11.27,$3.03,3.72
2012-03-31,13.11,$0.71,18.46
2011-12-31,10.37,$4.03,2.57
2011-09-30,8.64,$3.63,2.38
2011-06-30,12.77,$0.46,27.75
2011-03-31,11.63,$1.85,6.29
2010-12-31,13.77,$2.87,4.8
2010-09-30,13.27,$5.00,2.65
2010-06-30,10.27,$3.82,2.69
2010-03-31,16.94,$0.91,18.62
2009-12-31,16.74,$0.15,111.6
