U-Haul Holding PE Ratio Historical Data,U-Haul Holding PE Ratio Historical Data,U-Haul Holding PE Ratio Historical Data,U-Haul Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,72.54,,26.19
2024-06-30,61.73,$2.77,22.29
2024-03-31,67.54,$3.04,22.22
2023-12-31,71.8,$3.25,22.09
2023-09-30,54.57,$3.77,14.47
2023-06-30,55.32,$4.21,13.16
2023-03-31,59.65,$4.64,12.86
2022-12-31,60.19,$4.92,12.23
2022-09-30,50.92,$5.38,9.47
2022-06-30,47.78,$5.67,8.43
2022-03-31,59.58,$5.73,10.4
2021-12-31,72.49,$5.66,12.8
2021-09-30,64.44,$5.16,12.49
2021-06-30,58.74,$3.52,16.71
2021-03-31,61.0,$2.38,25.63
2020-12-31,45.2,$2.16,20.91
2020-06-30,29.92,$2.03,14.77
2020-03-31,28.76,$2.26,12.76
2019-12-31,37.2,$1.64,22.76
2019-09-30,38.56,$2.84,13.6
2019-06-30,37.37,$2.44,15.32
2019-03-31,36.68,$2.60,14.12
2020-09-30,35.29,$3.25,10.87
2018-12-31,32.35,$1.95,16.63
2018-09-30,35.11,$4.24,8.27
2018-06-30,35.01,$4.05,8.66
2018-03-31,33.88,$4.04,8.39
2017-12-31,37.05,$4.03,9.19
2017-09-30,36.7,$1.66,22.08
2017-06-30,35.74,$1.93,18.55
2017-03-31,37.22,$2.03,18.3
2016-12-31,35.99,$2.25,15.97
2016-09-30,31.48,$2.34,13.47
2016-06-30,36.36,$2.37,15.33
2016-03-31,34.59,$2.50,13.86
2015-12-31,37.71,$2.27,16.58
2015-09-30,38.09,$2.20,17.34
2015-06-30,31.4,$1.90,16.55
2015-03-31,31.63,$1.22,25.86
2014-12-31,27.13,$1.44,18.8
2014-06-30,27.75,$1.81,15.34
2014-03-31,22.15,$1.75,12.65
2013-12-31,22.61,$1.74,12.96
2013-09-30,17.5,$2.28,7.69
2013-06-30,15.39,$1.76,8.75
2013-03-31,16.49,$1.74,9.47
2014-09-30,25.0,$1.96,12.75
2012-12-31,12.05,$1.29,9.33
2012-09-30,9.67,$1.11,8.74
2012-06-30,8.18,$1.07,7.68
2012-03-31,9.6,$1.01,9.51
2011-12-31,8.04,$0.93,8.63
2011-09-30,5.62,$1.01,5.57
2011-06-30,8.65,$0.91,9.5
2011-03-31,8.72,$0.88,9.91
2010-12-31,8.64,$0.79,11.0
2010-09-30,7.15,$0.71,10.11
2010-06-30,4.95,$0.50,9.92
2010-03-31,4.88,$0.27,17.82
2009-12-31,4.47,$0.12,37.89
