Service PE Ratio Historical Data,Service PE Ratio Historical Data,Service PE Ratio Historical Data,Service PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.58,,22.03
2024-06-30,70.86,$3.43,20.66
2024-03-31,73.63,$3.48,21.16
2023-12-31,67.63,$3.52,19.21
2023-09-30,56.22,$3.18,17.68
2023-06-30,63.25,$3.14,20.14
2023-03-31,67.08,$3.10,21.64
2022-12-31,67.15,$3.51,19.13
2022-09-30,55.86,$4.16,13.43
2022-06-30,66.6,$4.63,14.38
2022-03-31,63.18,$4.73,13.36
2021-12-31,67.87,$4.72,14.38
2021-09-30,57.41,$4.63,12.4
2021-06-30,50.87,$4.12,12.35
2021-03-31,48.27,$3.79,12.74
2020-12-31,46.23,$2.91,15.88
2020-09-30,39.54,$2.55,15.51
2020-06-30,36.3,$2.21,16.42
2020-03-31,36.32,$2.01,18.07
2019-12-31,42.56,$1.99,21.38
2019-09-30,44.03,$2.24,19.65
2019-06-30,42.92,$2.23,19.24
2019-03-31,36.69,$2.39,15.35
2018-12-31,36.62,$2.39,15.32
2018-09-30,40.05,$2.64,15.17
2018-06-30,32.3,$2.56,12.62
2018-03-31,33.9,$2.37,14.3
2017-12-31,33.37,$2.85,11.71
2017-09-30,30.73,$1.90,16.17
2017-06-30,29.67,$1.85,16.04
2017-03-31,27.26,$1.57,17.36
2016-12-31,24.97,$0.90,27.74
2016-09-30,23.22,$0.92,25.24
2016-06-30,23.54,$0.91,25.87
2016-03-31,21.38,$1.08,19.8
2015-12-31,22.43,$1.14,19.68
2015-09-30,23.25,$1.20,19.38
2015-06-30,25.15,$1.05,23.95
2015-03-31,22.19,$0.92,24.12
2014-12-31,19.26,$0.81,23.77
2014-09-30,17.86,$0.51,35.02
2014-06-30,17.44,$0.55,31.7
2014-03-31,16.66,$0.59,28.24
2013-12-31,15.13,$0.67,22.59
2013-09-30,15.48,$0.67,23.11
2013-06-30,14.93,$0.74,20.18
2013-03-31,13.8,$0.75,18.4
2012-12-31,11.35,$0.70,16.22
2012-09-30,10.97,$0.78,14.06
2012-06-30,10.03,$0.74,13.56
2012-03-31,9.09,$0.68,13.37
2011-12-31,8.56,$0.62,13.81
2011-09-30,7.32,$0.57,12.85
2011-06-30,9.3,$0.50,18.6
2011-03-31,8.77,$0.55,15.94
2010-12-31,6.51,$0.51,12.76
2010-09-30,6.77,$0.49,13.81
2010-06-30,5.78,$0.53,10.91
2010-03-31,7.14,$0.46,15.53
2009-12-31,6.34,$0.48,13.21
