Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data,Franco-Nevada PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,127.18,,0.0
2024-06-30,118.18,$-3.04,0.0
2024-03-31,118.45,$-2.49,0.0
2023-12-31,109.81,$-2.43,0.0
2023-09-30,131.87,$3.54,37.25
2023-06-30,140.53,$3.45,40.73
2023-03-31,143.35,$3.51,40.84
2022-12-31,133.85,$3.65,36.67
2022-09-30,116.91,$3.95,29.6
2022-06-30,128.42,$4.00,32.1
2022-03-31,155.33,$3.90,39.83
2021-12-31,134.38,$3.85,34.9
2021-09-30,125.95,$3.61,34.89
2021-06-30,140.36,$3.55,39.54
2021-03-31,120.98,$3.13,38.65
2020-12-31,120.75,$1.71,70.61
2020-09-30,134.21,$1.39,96.56
2020-06-30,134.04,$1.12,119.68
2020-03-31,95.34,$0.96,99.32
2019-12-31,98.72,$1.83,53.95
2019-09-30,86.9,$1.06,81.98
2019-06-30,80.7,$0.80,100.87
2019-03-31,71.12,$0.75,94.83
2018-12-31,66.29,$0.75,88.39
2018-09-30,58.89,$1.15,51.21
2018-06-30,68.49,$1.19,57.55
2018-03-31,63.93,$1.15,55.59
2017-12-31,74.48,$1.05,70.93
2017-09-30,71.97,$0.79,91.1
2017-06-30,66.84,$0.77,86.8
2017-03-31,60.49,$0.76,79.59
2016-12-31,54.98,$0.69,79.68
2016-09-30,64.04,$0.52,123.15
2016-06-30,69.49,$0.32,217.16
2016-03-31,55.9,$0.22,254.1
2015-12-31,41.52,$0.16,259.52
2015-09-30,39.78,$0.37,107.52
2015-06-30,42.85,$0.49,87.45
2015-03-31,43.46,$0.59,73.66
2014-12-31,43.86,$-0.08,0.0
2014-09-30,43.42,$0.15,289.44
2014-03-31,40.41,$0.08,505.15
2013-12-31,35.77,$0.08,447.07
2013-09-30,39.56,$0.40,98.9
2013-06-30,31.12,$0.52,59.85
2013-03-31,39.5,$0.63,62.69
2012-12-31,49.36,$0.72,68.55
2012-09-30,50.74,$0.15,338.29
2012-06-30,38.8,$0.14,277.15
2012-03-31,36.79,$0.14,262.79
2011-12-31,32.49,$-0.01,0.0
2011-09-30,30.7,$0.94,32.66
2011-06-30,31.77,$0.84,37.83
