HealthEquity PE Ratio Historical Data,HealthEquity PE Ratio Historical Data,HealthEquity PE Ratio Historical Data,HealthEquity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.0,,73.33
2024-07-31,78.48,$1.20,65.4
2024-04-30,78.91,$0.92,85.77
2024-01-31,75.58,$0.64,118.09
2023-10-31,71.68,$0.34,210.82
2023-07-31,67.94,$0.15,452.93
2023-04-30,53.45,$-0.10,0.0
2023-01-31,60.85,$-0.31,0.0
2022-10-31,77.91,$-0.70,0.0
2022-07-31,58.17,$-0.74,0.0
2022-04-30,62.32,$-0.66,0.0
2022-01-31,53.44,$-0.53,0.0
2021-10-31,66.18,$-0.07,0.0
2021-07-31,73.98,$0.01,7398.0
2021-04-30,75.97,$0.06,1266.17
2021-01-31,83.55,$0.12,696.25
2020-10-31,51.49,$0.05,1029.8
2020-07-31,51.56,$-0.27,0.0
2020-04-30,56.27,$0.03,1875.67
2020-01-31,66.06,$0.65,101.63
2019-10-31,56.79,$0.86,66.03
2019-07-31,81.98,$1.41,58.14
2019-04-30,67.75,$1.47,46.09
2019-01-31,62.34,$1.18,52.83
2018-10-31,91.8,$1.06,86.6
2018-07-31,75.5,$0.98,77.04
2018-04-30,65.67,$0.89,73.79
2018-01-31,50.62,$0.76,66.61
2017-10-31,50.22,$0.74,67.86
2017-07-31,45.87,$0.67,68.46
2017-04-30,45.52,$0.54,84.3
2017-01-31,46.25,$0.45,102.78
2016-10-31,33.23,$0.43,77.28
2016-07-31,29.52,$0.40,73.8
2016-04-30,25.15,$0.34,73.97
2016-01-31,21.55,$0.29,74.31
2015-10-31,32.71,$0.26,125.81
2015-07-31,33.66,$0.24,140.25
2015-04-30,26.21,$0.23,113.96
