AppFolio PE Ratio Historical Data,AppFolio PE Ratio Historical Data,AppFolio PE Ratio Historical Data,AppFolio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,201.61,,59.12
2024-06-30,244.57,$3.41,71.72
2024-03-31,246.74,$2.07,119.2
2023-12-31,173.24,$0.03,5774.67
2023-09-30,182.63,$-1.36,0.0
2023-06-30,172.14,$-2.20,0.0
2023-03-31,124.48,$-2.53,0.0
2022-12-31,105.38,$-1.95,0.0
2022-09-30,104.72,$-1.43,0.0
2022-06-30,90.64,$-1.31,0.0
2022-03-31,113.21,$-0.39,0.0
2021-12-31,121.06,$0.03,4035.33
2021-09-30,120.4,$0.06,2006.67
2021-06-30,141.2,$3.92,36.02
2021-03-31,141.41,$4.40,32.14
2020-12-31,180.04,$4.45,40.46
2020-09-30,141.81,$4.58,30.96
2020-06-30,162.71,$0.86,189.2
2020-03-31,110.95,$0.97,114.38
2019-12-31,109.95,$1.02,107.79
2019-09-30,95.14,$0.97,98.08
2019-06-30,102.27,$0.99,103.3
2019-03-31,79.4,$0.55,144.36
2018-12-31,59.22,$0.56,105.75
2018-09-30,78.4,$0.56,140.0
2018-06-30,61.15,$0.50,122.3
2018-03-31,40.85,$0.37,110.41
2017-12-31,41.5,$0.27,153.7
2017-09-30,47.95,$0.16,299.69
2017-06-30,32.6,$0.03,1086.67
2017-03-31,27.2,$-0.12,0.0
2016-12-31,23.85,$-0.25,0.0
2016-09-30,19.44,$-0.33,0.0
2016-06-30,14.46,$-0.44,0.0
2016-03-31,12.24,$-0.73,0.0
