MACOM Technology Solutions Holdings PE Ratio Historical Data,MACOM Technology Solutions Holdings PE Ratio Historical Data,MACOM Technology Solutions Holdings PE Ratio Historical Data,MACOM Technology Solutions Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,112.67,,114.97
2024-06-30,111.47,$0.98,113.74
2024-03-31,95.64,$1.07,89.38
2023-09-30,81.58,$1.28,63.73
2023-06-30,65.53,$4.30,15.24
2023-03-31,70.84,$4.30,16.47
2022-12-31,62.98,$4.39,14.35
2022-09-30,51.79,$4.40,11.77
2023-12-31,92.95,$2.99,31.09
2022-06-30,46.1,$3.06,15.07
2022-03-31,59.87,$2.82,21.23
2021-12-31,78.3,$2.61,30.0
2021-09-30,64.87,$0.53,122.4
2021-06-30,64.08,$0.51,125.65
2021-03-31,58.02,$-0.07,0.0
2020-12-31,55.04,$-0.56,0.0
2020-09-30,34.01,$-0.86,0.0
2020-06-30,34.35,$-0.96,0.0
2020-03-31,18.93,$-5.54,0.0
2019-12-31,26.6,$-5.97,0.0
2019-09-30,21.5,$-5.98,0.0
2019-06-30,15.13,$-6.39,0.0
2019-03-31,16.71,$-2.76,0.0
2018-12-31,14.51,$-2.55,0.0
2018-09-30,20.6,$-2.68,0.0
2018-06-30,23.04,$-2.77,0.0
2018-03-31,16.6,$-1.88,0.0
2017-12-31,32.54,$-3.52,0.0
2017-09-30,44.61,$-2.97,0.0
2017-06-30,55.77,$-2.50,0.0
2017-03-31,48.3,$-1.94,0.0
2016-12-31,46.28,$-0.00,0.0
2016-09-30,42.34,$-0.27,0.0
2016-06-30,32.98,$0.45,73.29
2016-03-31,43.79,$0.47,93.17
2015-12-31,40.89,$0.52,78.63
2015-09-30,28.99,$0.68,42.63
2015-06-30,38.25,$0.17,225.0
2015-03-31,37.26,$0.04,931.5
2014-12-31,31.28,$-0.28,0.0
2014-09-30,21.84,$-0.29,0.0
2014-06-30,22.48,$-0.50,0.0
2014-03-31,20.55,$-0.32,0.0
2013-12-31,16.99,$0.32,53.09
2013-09-30,17.02,$0.59,28.85
2013-06-30,14.6,$0.86,16.98
2013-03-31,16.07,$0.95,16.92
2012-12-31,14.97,$-0.50,0.0
