Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data,Kinsale Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,475.19,,29.89
2024-06-30,385.16,$15.90,24.22
2024-03-31,524.58,$15.05,34.86
2023-12-31,334.71,$13.21,25.34
2023-09-30,413.72,$11.68,35.42
2023-06-30,373.69,$9.85,37.94
2023-03-31,299.61,$7.90,37.93
2022-12-31,260.93,$6.88,37.93
2022-09-30,254.74,$6.07,41.97
2022-06-30,228.91,$6.23,36.74
2022-03-31,227.16,$6.61,34.37
2021-12-31,236.85,$6.62,35.78
2021-09-30,160.91,$6.18,26.04
2021-06-30,163.86,$5.24,31.27
2021-03-31,163.78,$5.02,32.63
2020-12-31,198.76,$3.85,51.63
2020-09-30,188.81,$2.99,63.15
2020-06-30,154.03,$2.92,52.75
2020-03-31,103.67,$2.22,46.7
2019-12-31,100.75,$2.86,35.23
2019-09-30,102.3,$2.27,45.07
2019-06-30,90.52,$2.24,40.41
2019-03-31,67.78,$2.08,32.59
2018-12-31,54.86,$1.56,35.16
2018-09-30,63.05,$1.63,38.68
2018-06-30,54.1,$1.28,42.27
2018-03-31,50.56,$1.21,41.78
2017-12-31,44.26,$1.16,38.15
2017-09-30,42.4,$1.21,35.04
2017-06-30,36.59,$1.25,29.27
