Modine Manufacturing PE Ratio Historical Data,Modine Manufacturing PE Ratio Historical Data,Modine Manufacturing PE Ratio Historical Data,Modine Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,135.53,,44.29
2024-06-30,100.19,$3.06,32.74
2024-03-31,95.19,$3.03,31.42
2023-12-31,59.7,$4.24,14.08
2023-09-30,45.75,$3.87,11.82
2023-06-30,33.02,$3.46,9.54
2023-03-31,23.05,$2.88,8.0
2022-12-31,19.86,$1.35,14.71
2022-09-30,12.94,$2.30,5.63
2022-06-30,10.53,$1.85,5.69
2022-03-31,9.01,$1.62,5.56
2021-12-31,10.09,$1.17,8.62
2021-09-30,11.33,$-4.05,0.0
2021-06-30,16.59,$-3.89,0.0
2021-03-31,14.77,$-4.10,0.0
2020-12-31,12.56,$-3.94,0.0
2020-09-30,6.25,$-0.11,0.0
2020-06-30,5.52,$-0.37,0.0
2020-03-31,3.25,$-0.04,0.0
2019-12-31,7.7,$0.21,36.67
2019-09-30,11.37,$0.54,21.06
2019-06-30,14.31,$1.38,10.37
2019-03-31,13.87,$1.65,8.41
2018-12-31,10.81,$1.87,5.78
2018-09-30,14.9,$0.95,15.68
2018-06-30,18.25,$0.51,35.78
2018-03-31,21.15,$0.42,50.36
2017-12-31,20.2,$0.24,84.17
2017-09-30,19.25,$0.85,22.65
2017-06-30,16.55,$0.45,36.78
2017-03-31,12.2,$0.29,42.07
2016-12-31,14.9,$0.29,51.38
2016-09-30,11.86,$0.42,28.24
2016-06-30,8.8,$0.04,220.0
2016-03-31,11.01,$-0.03,0.0
2015-12-31,9.05,$-0.26,0.0
2015-09-30,7.87,$-0.23,0.0
2015-06-30,10.73,$0.28,38.32
2015-03-31,13.47,$2.66,5.06
2014-12-31,13.6,$2.65,5.13
2014-09-30,11.87,$2.55,4.65
2014-03-31,14.65,$2.72,5.39
2013-12-31,12.82,$0.19,67.47
2013-09-30,14.63,$0.55,26.6
2013-06-30,10.88,$0.26,41.85
2013-03-31,9.1,$-0.21,0.0
2014-06-30,15.74,$-0.20,0.0
2012-12-31,8.13,$-0.14,0.0
2012-09-30,7.38,$0.23,32.09
2012-06-30,6.93,$0.52,13.33
2012-03-31,8.83,$0.83,10.64
2011-12-31,9.46,$0.75,12.61
2011-09-30,9.06,$0.69,13.13
2011-06-30,15.37,$0.34,45.21
2011-03-31,16.14,$0.13,124.15
2010-12-31,15.5,$-0.39,0.0
2010-09-30,12.97,$-0.43,0.0
2010-06-30,7.68,$-0.31,0.0
2010-03-31,11.24,$-0.83,0.0
2009-12-31,11.84,$-2.04,0.0
