Pure Storage PE Ratio Historical Data,Pure Storage PE Ratio Historical Data,Pure Storage PE Ratio Historical Data,Pure Storage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.49,,141.23
2024-07-31,59.93,$0.40,149.83
2024-04-30,50.4,$0.28,180.0
2024-01-31,39.99,$0.17,235.24
2023-10-31,33.81,$0.19,177.95
2023-07-31,36.99,$-0.02,0.0
2023-04-30,22.83,$0.03,761.0
2023-01-31,28.94,$0.21,137.81
2022-10-31,30.86,$0.04,771.5
2022-07-31,28.35,$-0.06,0.0
2022-04-30,29.3,$-0.39,0.0
2022-01-31,26.49,$-0.54,0.0
2021-10-31,26.86,$-0.87,0.0
2021-04-30,20.22,$-1.02,0.0
2021-01-31,23.13,$-1.06,0.0
2020-10-31,16.1,$-0.89,0.0
2020-07-31,17.86,$-0.77,0.0
2020-04-30,14.4,$-0.64,0.0
2020-01-31,17.8,$-0.56,0.0
2021-07-31,19.52,$-0.95,0.0
2019-10-31,19.46,$-0.90,0.0
2019-07-31,15.14,$-0.90,0.0
2019-04-30,22.86,$-0.90,0.0
2019-01-31,17.91,$-0.78,0.0
2018-10-31,20.18,$-0.72,0.0
2018-07-31,21.66,$-0.80,0.0
2018-04-30,20.23,$-0.83,0.0
2018-01-31,20.14,$-0.84,0.0
2017-10-31,16.43,$-1.00,0.0
2017-07-31,12.07,$-1.20,0.0
2017-04-30,10.61,$-1.22,0.0
2017-01-31,11.37,$-1.26,0.0
2016-10-31,12.34,$-1.29,0.0
2016-07-31,12.6,$-1.65,0.0
