Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data,Glacier Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.14,,29.96
2024-06-30,36.72,$1.64,22.39
2024-03-31,39.29,$1.75,22.45
2023-12-31,40.31,$2.01,20.05
2023-09-30,27.25,$2.24,12.17
2023-06-30,29.48,$2.49,11.84
2023-03-31,39.41,$2.68,14.71
2022-12-31,46.36,$2.74,16.92
2022-09-30,45.52,$2.48,18.35
2022-06-30,43.63,$2.55,17.11
2022-03-31,45.94,$2.67,17.21
2021-12-31,51.72,$2.91,17.77
2021-09-30,49.93,$3.31,15.08
2021-06-30,49.39,$3.33,14.83
2021-03-31,50.92,$3.18,16.01
2020-12-31,40.92,$2.79,14.67
2020-09-30,28.07,$2.55,11.01
2020-06-30,30.64,$2.31,13.27
2020-03-31,29.28,$2.26,12.95
2019-12-31,39.42,$2.38,16.56
2019-09-30,34.2,$2.35,14.55
2019-06-30,34.05,$2.36,14.43
2019-03-31,33.44,$2.27,14.73
2018-12-31,32.82,$2.17,15.13
2018-09-30,35.28,$1.77,19.93
2018-06-30,31.46,$1.66,18.95
2018-03-31,31.03,$1.57,19.76
2017-12-31,31.85,$1.50,21.23
2017-09-30,30.37,$1.72,17.66
2017-06-30,28.85,$1.65,17.49
2017-03-31,26.57,$1.62,16.4
2016-12-31,28.14,$1.59,17.7
2016-09-30,21.87,$1.57,13.93
2016-06-30,20.23,$1.56,12.97
2016-03-31,19.19,$1.55,12.38
2015-12-31,19.78,$1.54,12.84
2015-09-30,19.41,$1.52,12.77
2015-06-30,21.49,$1.53,14.05
2015-03-31,18.24,$1.52,12.0
2014-12-31,19.91,$1.51,13.18
2014-09-30,18.3,$1.50,12.2
2014-06-30,19.96,$1.45,13.77
2014-03-31,20.33,$1.38,14.74
2013-12-31,20.84,$1.31,15.91
2013-09-30,17.07,$1.24,13.76
2013-06-30,15.25,$1.16,13.14
2013-03-31,12.94,$1.11,11.66
2012-12-31,10.03,$1.05,9.55
2012-09-30,10.44,$0.96,10.87
2012-06-30,10.27,$0.42,24.44
2012-03-31,9.83,$0.33,29.8
2011-12-31,7.84,$0.24,32.66
2011-09-30,6.03,$0.17,35.47
2011-06-30,8.59,$0.57,15.07
2011-03-31,9.51,$0.59,16.12
2010-12-31,9.46,$0.61,15.51
2010-09-30,9.06,$0.63,14.37
2010-06-30,9.03,$0.47,19.21
2010-03-31,9.3,$0.45,20.67
2009-12-31,8.38,$0.55,15.24
