Elastic PE Ratio Historical Data,Elastic PE Ratio Historical Data,Elastic PE Ratio Historical Data,Elastic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.31,,149.65
2024-07-31,109.67,$0.55,199.4
2024-04-30,102.22,$0.53,192.87
2024-01-31,117.06,$0.46,254.48
2023-10-31,75.04,$-1.99,0.0
2023-07-31,66.45,$-2.24,0.0
2023-04-30,57.25,$-2.48,0.0
2023-01-31,58.84,$-2.70,0.0
2022-10-31,63.95,$-2.55,0.0
2022-07-31,79.89,$-2.56,0.0
2022-04-30,76.14,$-2.20,0.0
2022-01-31,93.25,$-1.98,0.0
2021-10-31,173.51,$-1.80,0.0
2021-07-31,148.06,$-1.63,0.0
2021-04-30,120.62,$-1.48,0.0
2021-01-31,151.96,$-1.38,0.0
2020-10-31,101.41,$-1.50,0.0
2020-07-31,96.19,$-1.80,0.0
2020-04-30,64.14,$-2.13,0.0
2020-01-31,64.88,$-2.23,0.0
2019-10-31,72.01,$-1.98,0.0
