Lloyds Banking Group PE Ratio Historical Data,Lloyds Banking Group PE Ratio Historical Data,Lloyds Banking Group PE Ratio Historical Data,Lloyds Banking Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.2,,11.43
2024-06-30,2.68,$0.28,9.56
2024-03-31,2.45,$0.38,6.44
2023-03-31,2.08,$0.32,6.49
2022-03-31,2.06,$0.29,7.11
2021-03-31,1.93,$0.26,7.43
2020-03-31,1.26,$0.19,6.61
2019-03-31,2.53,$0.12,21.04
2017-03-31,2.43,$0.03,80.96
2016-03-31,2.7,$0.07,38.53
2015-12-31,2.98,$0.04,74.44
2015-06-30,3.68,$0.13,28.27
2015-03-31,3.13,$0.09,34.78
2014-12-31,3.11,$0.11,28.27
2014-09-30,3.38,0,0.0
2014-06-30,3.44,$-0.17,0.0
2014-03-31,3.41,$-0.12,0.0
2013-12-31,3.57,$-0.11,0.0
2013-09-30,3.22,$-0.03,0.0
2013-06-30,2.57,$0.09,28.6
2013-03-31,2.01,$0.09,22.34
2012-09-30,1.67,$-0.03,0.0
2012-06-30,1.29,0,0.0
2012-03-31,1.42,0,0.0
2011-12-31,1.05,0,0.0
2011-09-30,1.4,0,0.0
2011-06-30,2.09,0,0.0
2010-12-31,2.75,0,0.0
2010-06-30,2.12,$-0.03,0.0
2009-12-31,2.19,$0.02,109.58
