Equinor PE Ratio Historical Data,Equinor PE Ratio Historical Data,Equinor PE Ratio Historical Data,Equinor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.32,,7.41
2024-06-30,28.56,$3.28,8.71
2024-03-31,27.03,$3.23,8.37
2023-12-31,31.64,$3.91,8.09
2023-09-30,32.79,$5.54,5.92
2023-06-30,29.21,$7.67,3.81
2023-03-31,28.43,$9.18,3.1
2022-12-31,35.81,$9.05,3.96
2022-09-30,33.11,$7.58,4.37
2022-06-30,34.48,$5.04,6.84
2022-03-31,36.87,$3.53,10.45
2021-12-31,25.78,$2.64,9.76
2021-09-30,24.84,$0.85,29.22
2021-06-30,20.54,$-0.23,0.0
2021-03-31,18.78,$-0.91,0.0
2020-12-31,15.78,$-1.69,0.0
2020-09-30,13.45,$-1.01,0.0
2020-06-30,13.8,$-0.69,0.0
2020-03-31,11.28,$-0.17,0.0
2019-12-31,18.23,$0.55,33.15
2019-09-30,17.12,$1.63,10.5
2019-06-30,17.67,$2.46,7.18
2019-03-31,19.45,$2.39,8.14
2018-12-31,18.6,$2.27,8.2
2018-09-30,24.61,$2.03,12.12
2018-06-30,22.89,$1.38,16.59
2018-03-31,20.5,$1.45,14.14
2017-12-31,18.57,$1.39,13.36
2017-09-30,17.41,$-0.25,0.0
2017-06-30,14.33,$-0.24,0.0
2017-03-31,14.89,$-0.78,0.0
2016-12-31,15.81,$-0.92,0.0
2016-09-30,14.56,$-0.40,0.0
2016-06-30,15.0,$-0.37,0.0
2016-03-31,13.49,$0.14,96.34
2015-12-31,12.1,$-1.54,0.0
2015-09-30,12.62,$-1.56,0.0
2015-06-30,15.52,$-1.67,0.0
2015-03-31,15.25,$-1.48,0.0
2014-12-31,15.26,$1.24,12.31
2014-09-30,23.54,$2.36,9.98
2014-06-30,26.72,$3.34,8.0
2014-03-31,24.46,$2.97,8.24
2013-12-31,20.92,$2.09,10.01
2013-09-30,19.66,$2.08,9.45
2013-06-30,17.93,$2.09,8.58
2013-03-31,20.54,$3.22,6.38
2012-12-31,20.89,$3.69,5.66
2012-09-30,21.52,$4.34,4.96
2012-06-30,19.91,$4.16,4.79
2012-03-31,21.78,$4.36,4.99
2011-12-31,20.57,$4.42,4.65
2011-09-30,17.31,$3.54,4.89
2011-06-30,20.44,$3.65,5.6
2011-03-31,21.37,$2.25,9.5
2010-12-31,18.37,$1.97,9.33
2010-09-30,16.22,$1.86,8.72
2010-06-30,14.8,$1.52,9.74
2010-03-31,17.35,$1.36,12.76
2009-12-31,18.52,$0.94,19.71
