Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.1,,12.53
2024-06-30,39.08,$3.76,10.39
2024-03-31,52.86,$3.96,13.36
2023-12-31,52.37,$4.14,12.64
2023-09-30,44.59,$4.35,10.24
2023-06-30,44.49,$4.45,9.99
2023-03-31,39.01,$4.57,8.54
2022-12-31,36.52,$4.57,8.0
2022-09-30,30.97,$4.19,7.38
2022-06-30,31.94,$3.93,8.12
2022-03-31,31.01,$3.32,9.34
2021-12-31,34.48,$2.78,12.4
2021-09-30,29.14,$2.47,11.78
2021-06-30,24.17,$2.07,11.66
2021-03-31,28.46,$1.61,17.67
2020-12-31,23.81,$1.36,17.51
2020-09-30,18.48,$1.16,15.87
2020-06-30,14.82,$1.23,12.04
2020-03-31,12.63,$1.52,8.33
2019-12-31,18.86,$1.68,11.26
2019-09-30,16.43,$1.92,8.54
2019-06-30,15.14,$1.92,7.9
2019-03-31,17.04,$1.75,9.75
2018-12-31,14.56,$1.54,9.47
2018-09-30,16.26,$2.13,7.62
2018-06-30,17.85,$2.00,8.94
2018-03-31,16.42,$1.92,8.57
2017-12-31,19.6,$1.85,10.6
2017-09-30,17.74,$0.86,20.68
2017-06-30,14.8,$0.70,21.08
2017-03-31,12.68,$0.58,21.78
2016-12-31,12.55,$0.45,27.96
2016-09-30,9.88,$0.42,23.66
2016-06-30,8.45,$0.47,18.11
2016-03-31,7.42,$0.56,13.26
2015-12-31,8.9,$0.80,11.13
2015-09-30,9.48,$0.95,10.01
2015-06-30,9.76,$0.95,10.26
2014-12-31,11.45,$0.87,13.14
2014-09-30,11.97,$0.77,15.58
2014-06-30,12.79,$0.68,18.81
2014-03-31,11.45,$0.52,21.83
2013-12-31,10.37,$0.54,19.13
2013-09-30,9.26,$0.54,17.23
2013-06-30,8.75,$0.54,16.14
2013-03-31,8.32,$0.66,12.56
2012-12-31,7.03,$0.71,9.94
2012-09-30,6.83,$0.72,9.43
2015-03-31,10.05,$0.78,12.92
2012-06-30,5.51,$0.78,7.08
2012-03-31,7.03,$0.72,9.7
2011-12-31,6.91,$0.65,10.58
2011-09-30,4.75,$0.60,7.97
2011-06-30,6.55,$0.48,13.64
2010-12-31,7.35,$0.36,20.16
2010-09-30,5.59,$0.28,20.29
2010-06-30,4.74,$0.20,24.22
2010-03-31,5.0,$0.16,30.4
2009-12-31,4.27,$0.12,35.61
2011-03-31,7.07,$0.14,51.34
