APi Group PE Ratio Historical Data,APi Group PE Ratio Historical Data,APi Group PE Ratio Historical Data,APi Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.01,,0.0
2024-06-30,37.63,$-2.05,0.0
2024-03-31,39.27,$-2.15,0.0
2023-12-31,34.6,$-0.76,0.0
2023-09-30,25.93,$0.36,72.03
2023-06-30,27.26,$0.27,100.96
2023-03-31,22.48,$0.21,107.05
2022-12-31,18.81,$0.08,235.13
2022-09-30,13.27,$-0.71,0.0
2022-06-30,14.97,$-0.69,0.0
2022-03-31,21.03,$-0.66,0.0
2021-12-31,25.77,$-0.62,0.0
2021-09-30,20.35,$-1.31,0.0
2021-06-30,20.89,$-1.26,0.0
2021-03-31,20.68,$-1.18,0.0
