EchoStar PE Ratio Historical Data,EchoStar PE Ratio Historical Data,EchoStar PE Ratio Historical Data,EchoStar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.54,,0.0
2024-06-30,17.81,$-8.60,0.0
2024-03-31,14.25,$-7.25,0.0
2023-12-31,16.57,$-6.58,0.0
2023-09-30,16.75,$1.06,15.8
2022-12-31,16.68,$2.08,8.02
2022-09-30,16.47,$0.61,27.0
2022-06-30,19.3,$0.69,27.97
2022-03-31,24.34,$0.91,26.75
2021-12-31,26.35,$0.26,101.35
2023-03-31,18.29,$1.98,9.24
2021-09-30,25.51,$1.64,15.55
2021-06-30,24.29,$1.52,15.98
2021-03-31,24.0,$0.99,24.24
2020-12-31,21.19,$-0.41,0.0
2020-09-30,24.89,$-0.97,0.0
2020-06-30,27.96,$-1.42,0.0
2020-03-31,31.97,$-1.36,0.0
2019-12-31,43.31,$-0.65,0.0
2019-09-30,39.62,$-1.27,0.0
2019-06-30,36.09,$-0.91,0.0
2019-03-31,29.69,$-0.05,0.0
2018-12-31,29.91,$-0.42,0.0
2018-09-30,37.76,$3.98,9.49
2018-06-30,36.16,$4.17,8.67
2018-03-31,42.98,$3.44,12.49
2017-12-31,48.78,$4.07,11.99
2017-09-30,46.61,$1.24,37.59
2017-06-30,49.43,$1.27,38.93
2017-03-31,46.38,$1.80,25.77
2016-12-31,41.85,$1.93,21.69
2016-09-30,35.7,$2.24,15.94
2016-06-30,32.33,$2.17,14.9
2016-03-31,36.07,$1.93,18.69
2015-12-31,31.85,$1.75,18.2
2015-09-30,35.04,$1.63,21.5
2015-06-30,39.65,$2.00,19.82
2015-03-31,42.12,$2.00,21.06
2014-12-31,42.76,$1.77,24.16
2014-09-30,39.71,$1.32,30.08
2014-06-30,43.12,$0.68,63.4
2023-06-30,17.34,$0.37,46.86
2014-03-31,38.73,$0.13,297.95
2013-12-31,40.49,$0.03,1349.76
2013-09-30,35.79,$0.26,137.64
2013-06-30,31.85,$0.47,67.77
2013-03-31,31.74,$0.99,32.06
2012-12-31,27.87,$2.40,11.61
2012-09-30,23.34,$1.97,11.85
2012-06-30,21.52,$1.49,14.44
2012-03-31,22.92,$1.29,17.77
2011-12-31,17.05,$0.03,568.46
2011-09-30,18.41,$2.16,8.52
2011-06-30,29.67,$2.44,12.16
2011-03-31,30.83,$1.74,17.72
2010-12-31,20.34,$2.40,8.47
2010-09-30,15.54,$0.05,310.78
2010-06-30,15.54,$3.44,4.52
2010-03-31,16.52,$5.11,3.23
2009-12-31,16.4,$4.25,3.86
