Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.92,,14.12
2024-06-30,62.53,$6.65,9.4
2024-03-31,63.53,$6.86,9.26
2023-12-31,64.73,$6.54,9.9
2023-09-30,44.88,$7.88,5.7
2023-06-30,35.36,$8.33,4.24
2023-03-31,34.0,$8.76,3.88
2022-12-31,56.71,$9.80,5.79
2022-09-30,62.27,$9.41,6.62
2022-06-30,66.59,$9.16,7.27
2021-12-31,100.68,$8.67,11.61
2021-09-30,101.47,$8.28,12.25
2021-06-30,86.28,$8.22,10.5
2021-03-31,87.54,$7.41,11.81
2020-12-31,55.4,$6.44,8.6
2022-03-31,77.75,$5.34,14.56
2020-09-30,29.08,$4.37,6.65
2020-06-30,34.6,$4.25,8.14
2020-03-31,27.73,$4.51,6.15
2019-12-31,51.41,$4.84,10.62
2019-09-30,41.36,$4.72,8.76
2019-06-30,39.9,$4.53,8.81
2019-03-31,36.62,$4.33,8.46
2018-12-31,35.24,$4.13,8.53
2018-09-30,50.76,$3.85,13.19
2018-06-30,50.51,$3.59,14.07
2018-03-31,51.85,$3.36,15.43
2017-12-31,50.52,$3.10,16.3
2017-09-30,47.36,$2.92,16.22
2017-06-30,43.9,$2.77,15.85
2017-03-31,43.8,$2.61,16.78
2016-12-31,43.47,$2.51,17.32
2016-09-30,33.5,$2.41,13.9
2016-06-30,29.13,$2.35,12.4
2016-03-31,29.79,$2.14,13.92
2015-12-31,32.0,$2.00,16.0
2015-09-30,27.4,$1.89,14.5
2015-06-30,30.12,$1.71,17.62
2014-12-31,24.81,$1.67,14.85
2014-09-30,21.33,$1.57,13.58
2014-06-30,21.24,$1.43,14.85
2014-03-31,21.95,$1.42,15.46
2013-12-31,21.29,$1.31,16.25
2013-09-30,16.89,$1.32,12.8
2013-06-30,14.13,$1.18,11.97
2013-03-31,12.35,$0.94,13.14
2012-12-31,9.4,$0.82,11.46
2012-09-30,9.1,$0.52,17.5
2012-06-30,8.35,$0.38,21.98
2012-03-31,7.56,$0.28,26.99
2011-12-31,5.56,$0.61,9.11
2011-09-30,4.89,$0.57,8.58
2011-06-30,6.34,$0.36,17.6
2015-03-31,26.45,$0.30,88.16
2011-03-31,7.33,$-0.17,0.0
2010-12-31,6.57,$-0.23,0.0
2010-09-30,5.98,$-0.47,0.0
2010-06-30,6.4,$-0.83,0.0
2010-03-31,5.08,$-1.12,0.0
2009-12-31,3.37,$-3.42,0.0
