Trex PE Ratio Historical Data,Trex PE Ratio Historical Data,Trex PE Ratio Historical Data,Trex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.89,,27.42
2024-03-31,99.75,$2.33,42.81
2023-12-31,82.79,$1.89,43.8
2023-09-30,61.63,$1.78,34.62
2023-06-30,65.56,$1.31,50.05
2023-03-31,48.67,$1.39,35.01
2022-12-31,42.33,$1.63,25.97
2022-09-30,43.94,$1.76,24.97
2022-06-30,54.42,$2.27,23.97
2022-03-31,65.33,$2.01,32.5
2021-12-31,135.03,$1.81,74.6
2021-09-30,101.93,$1.96,52.01
2021-06-30,102.21,$1.69,60.48
2021-03-31,91.54,$1.57,58.49
2020-12-31,83.72,$1.51,55.44
2020-09-30,71.6,$1.45,49.55
2020-06-30,65.04,$1.88,34.69
2020-03-31,40.07,$1.83,21.9
2019-12-31,44.94,$1.77,25.39
2024-06-30,74.12,$1.74,42.72
2019-09-30,45.47,$1.15,39.53
2019-06-30,35.85,$1.04,34.47
2019-03-31,30.76,$1.10,27.96
2018-12-31,29.68,$1.14,25.98
2018-09-30,38.49,$1.08,35.56
2018-06-30,31.3,$1.00,31.22
2018-03-31,27.19,$0.88,30.9
2017-12-31,27.1,$0.81,33.66
2017-09-30,22.52,$0.76,29.73
2017-06-30,16.92,$0.65,26.22
2017-03-31,17.35,$0.60,28.91
2016-12-31,16.1,$0.56,28.88
2016-09-30,14.68,$0.52,28.5
2016-06-30,11.23,$0.49,23.04
2016-03-31,11.98,$0.44,27.55
2015-12-31,9.51,$0.38,25.19
2015-09-30,8.33,$0.35,23.64
2015-06-30,12.36,$0.39,31.48
2015-03-31,13.63,$0.36,37.61
2014-12-31,10.65,$0.32,33.65
2014-09-30,8.64,$0.39,22.23
2014-06-30,7.21,$0.21,35.15
2014-03-31,9.15,$0.19,49.43
2013-12-31,9.94,$0.25,39.77
2013-09-30,6.19,$0.11,56.28
2013-06-30,5.94,$0.12,51.04
2013-03-31,6.15,$0.08,75.62
2012-12-31,4.65,$0.02,265.93
2012-09-30,4.27,$-0.10,0.0
2012-06-30,3.76,$0.00,0.0
2012-03-31,4.01,$-0.04,0.0
2011-12-31,2.86,$-0.10,0.0
2011-09-30,2.0,$0.04,44.63
2011-06-30,3.06,$-0.02,0.0
2011-03-31,4.08,$0.01,0.0
2010-12-31,3.0,$-0.07,0.0
2010-09-30,2.38,$-0.05,0.0
2010-06-30,2.51,$-0.17,0.0
2010-03-31,2.66,$-0.15,0.0
2009-12-31,2.45,$-0.14,0.0
