Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data,Sabra Healthcare REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.22,,86.76
2024-06-30,15.12,$0.21,71.98
2024-03-31,14.2,$0.20,71.0
2023-12-31,13.42,$0.05,268.46
2023-09-30,12.84,$-0.39,0.0
2023-06-30,10.58,$-0.54,0.0
2023-03-31,10.07,$-0.56,0.0
2022-12-31,10.64,$-0.34,0.0
2022-09-30,10.95,$-0.08,0.0
2022-06-30,11.45,$0.19,60.24
2022-03-31,11.92,$-0.49,0.0
2021-12-31,10.59,$-0.51,0.0
2021-09-30,11.28,$-0.22,0.0
2021-06-30,13.69,$-0.09,0.0
2021-03-31,12.84,$0.66,19.45
2020-12-31,12.64,$0.67,18.86
2020-09-30,9.85,$0.69,14.27
2020-06-30,10.11,$0.63,16.04
2020-03-31,7.46,$0.95,7.85
2019-12-31,14.27,$0.34,41.98
2019-09-30,15.05,$0.03,501.71
2019-06-30,12.64,$0.11,114.94
2019-03-31,12.22,$0.73,16.74
2018-12-31,10.12,$1.51,6.7
2018-09-30,13.87,$2.19,6.34
2018-06-30,12.79,$2.10,6.09
2018-03-31,10.15,$1.29,7.87
2017-12-31,10.5,$1.20,8.75
2017-09-30,11.9,$0.94,12.66
2017-06-30,12.85,$1.18,10.89
2017-03-31,14.63,$1.44,10.16
2016-12-31,12.58,$1.53,8.22
2016-09-30,12.7,$1.46,8.7
2016-06-30,10.24,$1.35,7.58
2015-12-31,9.58,$1.10,8.71
2015-09-30,10.74,$1.11,9.67
2015-06-30,11.74,$0.59,19.9
2015-03-31,14.9,$0.66,22.58
2014-12-31,13.48,$0.66,20.43
2016-03-31,9.77,$0.06,162.86
2014-09-30,10.65,$0.61,17.46
2014-06-30,12.4,$0.54,22.96
2014-03-31,11.89,$0.17,69.93
2013-12-31,11.0,$0.67,16.41
2013-09-30,9.55,$0.51,18.73
2013-06-30,10.7,$0.41,26.09
2013-03-31,11.76,$0.66,17.81
2012-12-31,8.69,$0.53,16.39
2012-09-30,7.88,$0.61,12.92
2012-06-30,6.62,$0.54,12.26
2012-03-31,6.23,$0.46,13.53
2011-12-31,4.49,$0.39,11.5
2011-09-30,3.43,$0.20,17.17
2011-06-30,5.85,$0.52,11.25
2011-03-31,6.05,$1.10,5.5
2010-12-31,6.32,$1.74,3.63
2010-09-30,7.25,$2.34,3.1
2010-06-30,6.91,$2.61,2.65
2010-03-31,8.16,$2.64,3.09
2009-12-31,7.84,$2.64,2.97
