Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data,Ally Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.84,,15.45
2024-06-30,39.39,$2.32,16.98
2024-03-31,39.99,$2.45,16.32
2023-12-31,34.13,$2.99,11.41
2023-09-30,25.75,$3.66,7.04
2023-06-30,25.82,$3.66,7.05
2023-03-31,24.09,$4.07,5.92
2022-12-31,22.9,$4.97,4.61
2022-09-30,25.78,$5.93,4.35
2022-06-30,30.77,$6.94,4.43
2022-03-31,39.62,$7.95,4.98
2021-12-31,43.12,$8.20,5.26
2021-09-30,45.99,$8.23,5.59
2021-06-30,44.68,$7.60,5.88
2021-03-31,40.38,$5.83,6.93
2020-12-31,31.69,$2.87,11.04
2020-09-30,22.12,$2.04,10.84
2020-06-30,17.34,$1.75,9.91
2020-03-31,12.47,$2.57,4.85
2019-12-31,26.26,$4.34,6.05
2019-09-30,28.34,$4.05,7.0
2019-06-30,26.35,$3.96,6.65
2019-03-31,23.24,$3.31,7.02
2018-12-31,19.03,$2.96,6.43
2018-09-30,22.08,$2.67,8.27
2018-06-30,21.81,$2.42,9.01
2018-03-31,22.43,$2.16,10.38
2017-12-31,23.99,$2.05,11.7
2017-09-30,19.86,$2.16,9.2
2017-06-30,17.02,$1.96,8.69
2017-03-31,16.49,$2.12,7.78
2016-12-31,15.37,$2.15,7.15
2016-09-30,15.66,$-0.34,0.0
2016-06-30,13.67,$-0.30,0.0
2016-03-31,14.99,$-3.23,0.0
2015-12-31,14.93,$-2.66,0.0
2015-09-30,16.32,$-0.46,0.0
2015-06-30,17.96,$-0.19,0.0
2015-03-31,16.8,$2.57,6.54
2014-12-31,18.92,$1.84,10.28
