Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data,Wyndham Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.72,,26.94
2024-06-30,73.64,$3.07,23.99
2024-03-31,75.98,$2.82,26.94
2023-12-31,79.22,$3.40,23.3
2023-09-30,68.2,$3.43,19.88
2023-06-30,66.94,$3.35,19.98
2023-03-31,65.91,$3.53,18.67
2022-12-31,68.93,$3.90,17.67
2022-09-30,59.04,$3.79,15.58
2022-06-30,62.93,$3.75,16.78
2022-03-31,80.73,$3.48,23.2
2021-12-31,85.14,$2.60,32.75
2021-09-30,73.01,$2.00,36.51
2021-06-30,68.15,$1.20,56.8
2021-03-31,65.65,$-1.39,0.0
2020-12-31,55.79,$-1.42,0.0
2020-09-30,47.33,$-0.66,0.0
2020-06-30,39.89,$-0.48,0.0
2020-03-31,29.44,$1.65,17.84
2019-12-31,58.16,$1.64,35.47
2019-09-30,47.68,$1.39,34.3
2019-06-30,51.09,$1.50,34.06
2019-03-31,45.58,$1.44,31.65
