CubeSmart PE Ratio Historical Data,CubeSmart PE Ratio Historical Data,CubeSmart PE Ratio Historical Data,CubeSmart PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.9,,28.03
2024-06-30,44.22,$1.78,24.85
2024-03-31,44.27,$1.80,24.6
2023-12-31,44.87,$1.81,24.79
2023-09-30,36.51,$1.67,21.86
2023-06-30,42.22,$1.72,24.55
2023-03-31,43.22,$1.55,27.89
2022-12-31,37.25,$1.29,28.87
2022-09-30,36.62,$1.14,32.13
2022-06-30,38.64,$1.07,36.11
2022-03-31,46.59,$1.05,44.38
2021-12-31,50.55,$1.09,46.37
2021-09-30,42.71,$1.10,38.83
2021-06-30,40.55,$0.91,44.56
2021-03-31,32.87,$0.87,37.79
2020-12-31,28.95,$0.86,33.66
2020-09-30,27.55,$0.86,32.03
2020-06-30,22.78,$0.84,27.12
2020-03-31,22.34,$0.90,24.82
2019-12-31,25.93,$0.89,29.13
2019-09-30,28.45,$0.93,30.59
2019-06-30,27.01,$0.94,28.73
2019-03-31,25.63,$0.89,28.8
2018-12-31,22.73,$0.89,25.54
2018-09-30,22.6,$0.85,26.59
2018-06-30,25.26,$0.83,30.43
2018-03-31,21.9,$0.80,27.38
2017-12-31,22.23,$0.75,29.63
2017-09-30,19.75,$0.66,29.92
2017-06-30,18.1,$0.58,31.2
2017-03-31,19.32,$0.51,37.89
2016-12-31,19.72,$0.45,43.82
2016-09-30,19.88,$0.52,38.22
2016-06-30,22.35,$0.49,45.61
2016-03-31,23.94,$0.45,53.19
2015-12-31,21.87,$0.41,53.34
2015-09-30,19.3,$0.23,83.93
2015-06-30,16.33,$0.18,90.74
2015-03-31,16.91,$0.15,112.76
2014-12-31,15.36,$0.13,118.12
2014-09-30,12.42,$0.26,47.77
2014-06-30,12.57,$0.32,39.27
2014-03-31,11.69,$0.29,40.3
2013-12-31,10.77,$0.26,41.43
2013-09-30,11.96,$0.11,108.73
2013-06-30,10.65,0,0.0
2013-03-31,10.46,0,0.0
2012-12-31,9.57,$-0.03,0.0
2012-09-30,8.39,$-0.11,0.0
2012-06-30,7.56,$-0.04,0.0
2012-03-31,7.61,$-0.04,0.0
2011-12-31,6.75,0,0.0
2011-09-30,5.37,$0.10,53.67
2011-06-30,6.58,$0.01,657.57
2011-03-31,6.53,$-0.05,0.0
2010-12-31,5.87,$-0.09,0.0
2010-09-30,5.13,$-0.14,0.0
2010-06-30,4.57,$-0.03,0.0
2010-03-31,4.39,$-0.03,0.0
2009-12-31,4.45,$-0.02,0.0
