Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data,Affiliated Managers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,196.21,,11.52
2024-06-30,156.22,$17.03,9.17
2024-03-31,167.45,$18.02,9.29
2023-12-31,151.39,$17.35,8.73
2023-09-30,130.31,$29.60,4.4
2023-06-30,149.84,$26.92,5.57
2023-03-31,142.36,$26.35,5.4
2022-12-31,158.36,$26.32,6.02
2022-09-30,111.79,$13.09,8.54
2022-06-30,116.53,$13.29,8.77
2022-03-31,140.85,$13.16,10.7
2021-12-31,164.39,$13.13,12.52
2021-09-30,150.97,$11.50,13.13
2021-06-30,154.08,$10.03,15.36
2021-03-31,148.89,$8.13,18.31
2020-12-31,101.6,$4.39,23.14
2020-09-30,68.3,$2.31,29.57
2020-06-30,74.47,$2.49,29.91
2020-03-31,59.06,$3.95,14.95
2019-12-31,84.3,$0.41,205.6
2019-09-30,82.61,$-2.93,0.0
2019-06-30,90.95,$-2.30,0.0
2019-03-31,105.36,$-2.25,0.0
2018-12-31,95.56,$4.39,21.77
2018-09-30,133.74,$12.77,10.47
2018-06-30,145.14,$12.65,11.47
2018-03-31,184.74,$12.71,14.53
2017-12-31,199.69,$12.07,16.54
2017-09-30,184.49,$9.24,19.97
2017-06-30,161.02,$8.99,17.91
2017-03-31,158.95,$8.69,18.29
2016-12-31,140.7,$9.28,15.16
2016-06-30,136.31,$8.59,15.87
2016-03-31,157.26,$8.93,17.61
2015-12-31,154.7,$9.29,16.65
2015-09-30,165.57,$8.57,19.32
2015-06-30,211.68,$9.61,22.03
2015-03-31,207.98,$9.14,22.75
2016-09-30,140.12,$8.63,16.24
2014-12-31,205.52,$8.03,25.59
2014-09-30,194.01,$7.80,24.87
2014-06-30,198.9,$7.33,27.13
2014-03-31,193.71,$6.74,28.74
2013-12-31,210.01,$6.49,32.36
2013-09-30,176.86,$5.10,34.68
2013-06-30,158.75,$4.77,33.28
2013-03-31,148.71,$3.71,40.08
2012-12-31,126.03,$3.33,37.85
2012-09-30,119.1,$2.69,44.28
2012-06-30,105.98,$2.50,42.39
2011-12-31,92.91,$3.12,29.78
2011-09-30,75.58,$3.53,21.41
2011-06-30,98.24,$3.48,28.23
2011-03-31,105.91,$3.28,32.29
2010-12-31,96.08,$3.07,31.3
2012-03-31,108.27,$2.27,47.7
2010-09-30,75.54,$2.11,35.8
2010-06-30,58.85,$1.86,31.64
2010-03-31,76.5,$1.59,48.11
2009-12-31,65.22,$1.36,47.95
