Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data,Healthcare Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.99,,0.0
2024-06-30,16.48,$-1.50,0.0
2024-03-31,13.87,$-1.33,0.0
2023-12-31,16.51,$-0.74,0.0
2023-09-30,14.31,$-0.72,0.0
2023-06-30,17.37,$-0.46,0.0
2023-03-31,17.8,$-0.20,0.0
2022-12-31,17.74,$0.11,161.3
2022-09-30,18.9,$0.27,70.0
2022-06-30,25.27,$0.29,87.15
2022-03-31,28.09,$0.42,66.89
2021-12-31,29.65,$0.47,63.07
2021-09-30,26.33,$0.37,71.17
2021-06-30,23.71,$0.33,71.83
2020-12-31,23.88,$0.24,99.5
2020-09-30,22.27,$0.15,148.49
2020-06-30,22.72,$0.14,162.28
2020-03-31,20.5,$0.16,128.16
2019-12-31,25.57,$0.14,182.66
2019-09-30,24.56,$0.17,144.45
2019-06-30,22.67,$1.03,22.01
2019-03-31,23.37,$1.02,22.92
2018-12-31,20.69,$1.01,20.49
2018-09-30,21.55,$1.14,18.9
2018-06-30,21.78,$0.39,55.85
2018-03-31,21.37,$0.29,73.69
2017-12-31,24.27,$0.34,71.38
2017-09-30,23.83,$0.23,103.63
2017-06-30,24.63,$0.27,91.22
2021-03-31,24.49,$0.34,72.02
2017-03-31,24.91,$0.33,75.48
2016-12-31,23.05,$0.32,72.02
2016-09-30,25.56,$0.29,88.14
2016-06-30,25.34,$0.30,84.47
2016-03-31,23.05,$0.28,82.33
2015-12-31,20.92,$0.25,83.68
2015-09-30,18.81,$0.34,55.31
2015-06-30,18.38,$0.43,42.74
2015-03-31,21.38,$0.38,56.25
2014-12-31,20.67,$0.37,55.87
2014-09-30,8.9,$0.24,37.09
2014-06-30,9.24,$0.14,65.99
2014-03-31,8.74,$0.24,36.41
2013-12-31,7.55,$0.22,34.32
2013-09-30,7.96,$0.16,49.73
2013-06-30,8.38,$0.14,59.87
2013-03-31,8.66,$-0.14,0.0
2012-12-31,7.2,$-0.16,0.0
2012-09-30,7.02,$-0.12,0.0
2012-06-30,7.01,$-0.14,0.0
2012-03-31,14.08,$0.04,351.98
2011-12-31,11.73,$0.06,195.46
2011-09-30,10.45,$-0.06,0.0
2011-06-30,12.57,$-0.06,0.0
2011-03-31,13.64,$-0.08,0.0
2010-12-31,12.54,$-0.10,0.0
2010-09-30,13.66,0,0.0
2010-06-30,12.67,0,0.0
2010-03-31,13.25,0,0.0
2009-12-31,12.03,0,0.0
