Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data,Federal Signal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.15,,28.62
2024-06-30,83.56,$3.29,25.4
2024-03-31,84.65,$2.96,28.6
2023-12-31,76.42,$2.57,29.74
2023-09-30,59.39,$2.39,24.85
2023-06-30,63.56,$2.20,28.89
2023-03-31,53.72,$2.09,25.7
2022-12-31,45.97,$1.96,23.45
2022-09-30,36.85,$1.86,19.81
2022-06-30,35.08,$1.82,19.27
2021-12-31,42.47,$1.63,26.06
2021-09-30,37.78,$1.73,21.84
2021-06-30,39.26,$1.59,24.69
2021-03-31,37.29,$1.52,24.54
2020-12-31,32.22,$1.51,21.34
2022-03-31,33.16,$1.47,22.56
2020-09-30,28.35,$1.62,17.5
2020-06-30,28.74,$1.67,17.21
2020-03-31,26.29,$1.86,14.13
2019-12-31,30.99,$1.77,17.51
2019-09-30,31.39,$1.82,17.25
2019-06-30,25.58,$1.72,14.87
2019-03-31,24.77,$1.62,15.29
2018-12-31,18.91,$1.54,12.28
2018-09-30,25.36,$1.51,16.79
2018-06-30,21.98,$1.36,16.16
2018-03-31,20.71,$1.11,18.66
2017-12-31,18.84,$1.02,18.47
2017-09-30,19.89,$0.73,27.24
2017-06-30,16.16,$0.66,24.49
2017-03-31,12.8,$0.62,20.65
2016-12-31,14.4,$0.72,20.0
2016-09-30,12.17,$0.69,17.64
2016-06-30,11.76,$0.85,13.83
2016-03-31,12.04,$0.99,12.16
2015-12-31,14.33,$1.00,14.33
2015-09-30,12.34,$1.19,10.37
2015-06-30,13.36,$1.13,11.83
2015-03-31,14.1,$1.11,12.7
2014-12-31,13.73,$1.00,13.73
2014-09-30,11.75,$1.05,11.19
2014-06-30,12.98,$1.06,12.24
2014-03-31,13.17,$2.66,4.95
2013-12-31,12.95,$2.53,5.12
2013-09-30,11.37,$2.19,5.19
2013-06-30,7.73,$1.70,4.55
2013-03-31,7.19,$-0.43,0.0
2012-12-31,6.73,$-0.43,0.0
2012-09-30,5.59,$-0.78,0.0
2012-06-30,5.16,$-0.51,0.0
2012-03-31,4.91,$-0.15,0.0
2011-12-31,3.67,$-0.23,0.0
2011-09-30,3.91,$-2.68,0.0
2011-06-30,5.8,$-2.67,0.0
2011-03-31,5.75,$-2.78,0.0
2010-12-31,6.06,$-2.76,0.0
2010-09-30,4.72,$0.42,11.24
2010-06-30,5.23,$0.47,11.14
2010-03-31,7.74,$0.38,20.37
2009-12-31,5.14,$0.47,10.93
