Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.94,,49.5
2024-06-30,6.37,$0.12,53.07
2024-03-31,8.95,$0.14,63.93
2023-12-31,7.7,$0.12,64.16
2023-09-30,6.46,$0.35,18.45
2023-06-30,7.03,$0.40,17.58
2023-03-31,5.49,$0.35,15.7
2022-12-31,4.02,$-0.06,0.0
2022-03-31,5.26,$0.19,27.66
2021-12-31,6.74,$0.49,13.75
2021-09-30,7.12,$0.41,17.37
2021-06-30,8.34,$-0.36,0.0
2021-03-31,6.92,$-0.57,0.0
2020-12-31,5.14,$-0.98,0.0
2020-09-30,3.78,$-1.19,0.0
2020-06-30,2.86,$0.02,143.05
2020-03-31,2.11,$0.18,11.7
2019-12-31,3.76,$0.25,15.02
2022-06-30,3.89,$0.44,8.85
2019-09-30,3.84,$0.24,16.01
2019-06-30,4.16,$0.21,19.8
2019-03-31,4.5,$0.36,12.49
2018-12-31,4.67,$0.35,13.34
2018-09-30,6.82,$0.30,22.74
2018-06-30,6.36,$0.39,16.3
2018-03-31,6.41,$0.34,18.87
2017-12-31,7.27,$0.55,13.19
2017-09-30,8.8,$0.77,11.5
2017-06-30,9.13,$0.78,11.75
2017-03-31,8.45,$0.73,11.56
2016-12-31,7.48,$0.53,14.18
2016-09-30,7.4,$0.49,15.25
2016-06-30,5.75,$0.26,22.49
2016-03-31,6.52,$0.18,37.12
2015-12-31,4.99,$0.02,212.35
2015-09-30,6.26,$-0.15,0.0
2015-06-30,8.21,$-0.07,0.0
2014-12-31,8.78,$-0.36,0.0
2014-09-30,11.23,$-0.41,0.0
2014-06-30,11.4,$-0.45,0.0
2014-03-31,10.46,$-0.62,0.0
2013-12-31,9.8,$-0.61,0.0
2013-09-30,9.26,$-0.78,0.0
2013-06-30,8.76,$-0.77,0.0
2013-03-31,9.72,$-0.80,0.0
2012-12-31,7.86,$-0.74,0.0
2015-03-31,8.16,$-0.40,0.0
2012-09-30,6.63,$-0.41,0.0
2012-06-30,5.36,$-0.89,0.0
2012-03-31,6.18,$-0.97,0.0
2011-12-31,4.13,$-1.17,0.0
2011-09-30,2.42,$-1.49,0.0
2011-06-30,6.59,$-0.94,0.0
2011-03-31,6.84,$-0.94,0.0
2010-12-31,7.89,$-0.99,0.0
2010-09-30,6.26,$-0.71,0.0
2010-06-30,7.12,$-0.54,0.0
2010-03-31,7.23,$-0.15,0.0
2009-12-31,8.37,$0.12,71.59
2009-09-30,9.15,$0.62,14.81
