Graham Holdings PE Ratio Historical Data,Graham Holdings PE Ratio Historical Data,Graham Holdings PE Ratio Historical Data,Graham Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,823.5,,27.79
2024-06-30,696.55,$29.63,23.51
2024-03-31,762.5,$60.31,12.64
2023-12-31,690.17,$43.47,15.88
2023-09-30,576.1,$33.03,17.44
2023-06-30,563.08,$44.81,12.57
2023-03-31,585.46,$4.97,117.8
2022-12-31,592.2,$13.54,43.74
2022-09-30,525.85,$29.36,17.91
2022-06-30,552.51,$30.50,18.12
2022-03-31,594.51,$67.44,8.82
2021-12-31,610.7,$70.43,8.67
2021-09-30,569.79,$100.67,5.66
2021-06-30,611.63,$107.99,5.66
2021-03-31,541.43,$88.60,6.11
2020-12-31,512.13,$59.84,8.56
2020-09-30,386.63,$39.75,9.73
2020-06-30,326.53,$32.58,10.02
2020-03-31,323.73,$39.63,8.17
2019-12-31,604.73,$61.21,9.88
2019-09-30,626.52,$44.57,14.06
2019-06-30,650.39,$59.80,10.88
2019-03-31,642.66,$57.78,11.12
2018-12-31,601.32,$50.30,11.95
2018-09-30,542.54,$78.21,6.94
2018-06-30,547.62,$59.35,9.23
2018-03-31,561.49,$58.18,9.65
2017-12-31,519.38,$54.15,9.59
2017-09-30,543.02,$22.20,24.46
2017-06-30,555.34,$23.65,23.48
2017-03-31,554.07,$26.95,20.56
2016-12-31,471.95,$29.79,15.84
2016-09-30,442.6,$31.94,13.86
2016-06-30,449.04,$-14.18,0.0
2016-03-31,439.15,$-15.07,0.0
2015-12-31,442.6,$-18.18,0.0
2015-09-30,525.55,$30.51,17.23
2015-06-30,577.31,$83.88,6.88
2015-03-31,562.24,$174.49,3.22
2014-12-31,461.4,$188.80,2.44
2014-09-30,372.35,$152.53,2.44
2014-06-30,380.81,$143.52,2.65
2014-03-31,371.76,$49.06,7.58
2013-12-31,349.02,$31.91,10.94
2013-09-30,321.68,$4.20,76.59
2013-06-30,254.55,$12.73,20.0
2013-03-31,235.2,$13.55,17.36
2012-12-31,192.16,$16.98,11.32
2012-09-30,184.8,$31.58,5.85
2012-06-30,189.03,$18.12,10.43
2012-03-31,187.69,$17.02,11.03
2011-12-31,188.15,$14.82,12.7
2011-09-30,162.13,$16.21,10.0
2011-06-30,206.61,$23.87,8.66
2011-03-31,214.58,$28.13,7.63
2010-12-31,214.4,$31.17,6.88
2010-09-30,193.66,$30.46,6.36
2010-06-30,197.95,$25.43,7.78
2010-03-31,213.31,$16.73,12.75
2009-12-31,210.05,$9.78,21.48
