Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.67,,131.79
2024-06-30,49.2,$0.43,114.42
2024-03-31,43.32,$0.39,111.08
2023-12-31,43.1,$0.60,71.83
2023-09-30,39.56,$0.44,89.91
2023-06-30,31.27,$0.15,208.45
2023-03-31,26.12,$0.29,90.06
2022-12-31,22.62,$0.17,133.09
2022-09-30,26.36,$0.22,119.8
2022-06-30,20.9,$0.12,174.15
2022-03-31,28.93,$-0.11,0.0
2021-12-31,21.68,$-0.20,0.0
2021-09-30,21.55,$-0.07,0.0
2021-06-30,19.02,$-0.04,0.0
2021-03-31,16.47,$-0.06,0.0
2020-12-31,13.29,$-0.09,0.0
2020-09-30,9.96,$-0.00,0.0
2020-06-30,10.1,$0.09,112.26
2020-03-31,7.53,$0.14,53.79
2019-12-31,8.77,$0.14,62.66
2019-09-30,9.3,$0.20,46.52
2019-06-30,10.51,$0.27,38.92
2019-03-31,11.55,$0.16,72.17
2018-12-31,11.12,$0.31,35.86
2018-09-30,11.11,$-0.12,0.0
2018-06-30,10.96,$-0.42,0.0
2018-03-31,8.86,$-0.27,0.0
2017-12-31,8.99,$-0.42,0.0
2017-09-30,9.34,$-0.56,0.0
2017-06-30,8.72,$-0.03,0.0
2017-03-31,10.53,$-0.30,0.0
2016-12-31,9.89,$-0.11,0.0
2016-09-30,8.03,$0.14,57.35
2016-06-30,10.2,$-0.15,0.0
2016-03-31,11.85,$0.30,39.51
2015-12-31,11.32,$0.13,87.04
2015-09-30,11.1,$0.29,38.29
2015-06-30,12.95,$-0.03,0.0
2015-03-31,12.56,$0.08,156.98
2014-12-31,14.71,$0.40,36.78
2014-09-30,15.75,$0.41,38.41
2014-06-30,17.4,$1.25,13.92
2014-03-31,20.22,$1.05,19.26
2013-12-31,18.27,$0.77,23.72
2013-09-30,15.82,$0.73,21.67
2013-06-30,17.99,$0.43,41.85
2013-03-31,18.02,$0.36,50.05
2012-12-31,17.02,$0.68,25.03
2012-09-30,16.7,$1.24,13.47
2012-06-30,18.75,$1.13,16.59
2012-03-31,18.27,$1.26,14.5
2011-12-31,15.28,$1.16,13.17
2011-09-30,15.42,$1.01,15.27
2011-06-30,22.06,$1.16,19.02
2011-03-31,25.05,$1.18,21.23
2010-12-31,33.56,$1.29,26.01
2010-09-30,23.01,$2.22,10.36
2010-06-30,17.61,$2.37,7.43
2010-03-31,22.61,$2.78,8.13
2009-12-31,26.47,$2.61,10.14
