Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.82,,126.39
2024-06-30,49.76,$0.41,121.37
2024-03-31,54.67,$0.67,81.6
2023-12-31,57.12,$1.33,42.95
2023-09-30,49.57,$2.32,21.36
2023-06-30,54.77,$3.16,17.33
2023-03-31,55.64,$4.12,13.5
2022-12-31,51.41,$4.73,10.87
2022-09-30,47.9,$5.33,8.99
2022-06-30,45.21,$5.35,8.45
2022-03-31,49.15,$4.92,9.99
2021-12-31,59.23,$4.44,13.34
2021-09-30,49.63,$3.76,13.2
2021-06-30,44.02,$3.24,13.59
2021-03-31,46.47,$2.79,16.66
2020-12-31,40.34,$2.40,16.81
2020-09-30,39.18,$1.95,20.09
2020-06-30,40.09,$1.68,23.86
2020-03-31,31.46,$1.67,18.84
2019-12-31,34.29,$1.80,19.05
2019-09-30,34.68,$2.27,15.28
2019-06-30,31.32,$2.43,12.89
2019-03-31,31.1,$2.48,12.54
2018-12-31,23.81,$2.36,10.09
2018-09-30,32.69,$4.00,8.17
2018-06-30,36.17,$3.44,10.51
2018-03-31,43.49,$3.21,13.56
2017-12-31,41.27,$2.87,14.36
2017-09-30,39.17,$0.90,43.46
2017-06-30,34.92,$1.25,27.94
2017-03-31,29.55,$1.42,20.86
2016-12-31,31.15,$1.68,18.54
2016-09-30,27.04,$1.86,14.53
2016-06-30,25.06,$1.82,13.77
2016-03-31,24.65,$1.86,13.25
2015-12-31,22.84,$1.90,12.0
2015-09-30,22.62,$1.76,12.83
2015-06-30,25.21,$1.90,13.25
2015-03-31,30.4,$1.81,16.84
2014-12-31,31.73,$1.57,20.22
2014-09-30,25.82,$1.44,17.88
2014-06-30,22.41,$1.25,17.93
2014-03-31,21.8,$1.28,17.06
2013-12-31,17.29,$1.39,12.45
2013-09-30,15.52,$1.42,10.96
2013-06-30,15.74,$1.40,11.22
2013-03-31,15.02,$1.32,11.38
2012-12-31,13.59,$1.44,9.41
2012-09-30,12.79,$1.28,10.01
2012-06-30,14.25,$1.19,11.93
2011-12-31,13.83,$0.89,15.56
2011-09-30,11.73,$-0.39,0.0
2011-06-30,14.91,$-0.64,0.0
2011-03-31,16.83,$-0.85,0.0
2010-12-31,16.56,$-1.31,0.0
2012-03-31,15.68,$-1.38,0.0
2010-09-30,16.16,$-2.29,0.0
2010-06-30,16.87,$-2.28,0.0
2010-03-31,17.53,$-1.85,0.0
2009-12-31,15.99,$-0.86,0.0
