Bank Of Nova Scotia PE Ratio Historical Data,Bank Of Nova Scotia PE Ratio Historical Data,Bank Of Nova Scotia PE Ratio Historical Data,Bank Of Nova Scotia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.51,,12.8
2024-07-31,45.76,$4.18,10.95
2024-04-30,44.25,$4.44,9.97
2024-01-31,44.38,$4.52,9.82
2023-10-31,37.78,$4.29,8.81
2023-07-31,46.2,$4.76,9.71
2023-04-30,45.06,$5.09,8.85
2023-01-31,48.13,$5.56,8.66
2022-10-31,42.3,$6.24,6.78
2022-07-31,52.53,$6.58,7.98
2022-04-30,53.84,$6.58,8.18
2022-01-31,60.5,$6.35,9.53
2021-10-31,54.52,$6.11,8.92
2021-07-31,51.33,$5.62,9.13
2021-04-30,51.77,$4.75,10.9
2021-01-31,42.83,$4.00,10.71
2020-10-31,32.96,$3.94,8.37
2020-07-31,32.1,$4.18,7.68
2020-04-30,30.84,$4.55,6.78
2020-01-31,41.29,$5.12,8.06
2019-10-31,42.8,$5.02,8.53
2019-07-31,39.38,$5.02,7.85
2019-04-30,39.64,$5.10,7.77
2019-01-31,40.5,$5.14,7.88
2018-10-31,38.2,$5.31,7.19
2018-07-31,41.68,$5.31,7.85
2018-04-30,42.76,$5.37,7.96
2018-01-31,45.78,$5.25,8.72
2017-10-31,43.99,$4.97,8.85
2017-07-31,42.07,$4.86,8.66
2017-04-30,37.2,$4.79,7.77
2017-01-31,39.59,$4.50,8.8
2016-10-31,35.25,$4.39,8.03
2016-07-31,32.94,$4.29,7.68
2016-04-30,33.65,$4.26,7.9
2016-01-31,25.91,$4.47,5.8
2015-10-31,29.43,$4.48,6.57
2015-07-31,30.39,$4.35,6.99
2015-04-30,33.78,$4.88,6.92
2015-01-31,29.1,$5.02,5.8
2014-10-31,36.76,$5.13,7.17
2014-07-31,39.94,$5.38,7.42
2014-04-30,35.13,$4.99,7.04
2014-01-31,31.38,$4.90,6.4
2013-10-31,34.45,$4.93,6.99
2013-07-31,31.63,$4.90,6.45
2013-04-30,31.63,$5.29,5.98
2013-01-31,31.98,$5.22,6.13
2012-10-31,29.25,$5.21,5.61
2012-07-31,27.78,$5.10,5.45
2012-04-30,28.9,$4.55,6.35
2012-01-31,26.49,$4.82,5.5
2011-10-31,26.87,$4.71,5.71
2011-07-31,28.7,$4.62,6.21
2011-04-30,30.6,$4.41,6.94
2011-01-31,28.14,$4.03,6.98
2010-10-31,26.37,$3.82,6.9
2010-07-31,24.48,$3.62,6.76
2010-04-30,24.6,$3.48,7.07
2010-01-31,20.15,$3.12,6.46
2009-10-31,19.8,$3.04,6.51
