Ecopetrol S.A PE Ratio Historical Data,Ecopetrol S.A PE Ratio Historical Data,Ecopetrol S.A PE Ratio Historical Data,Ecopetrol S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.15,,3.59
2024-06-30,11.19,$2.27,4.93
2024-03-31,10.35,$2.30,4.5
2023-12-31,10.42,$2.38,4.38
2023-09-30,9.34,$2.33,4.01
2023-06-30,7.62,$2.78,2.74
2023-03-31,7.23,$3.63,1.99
2022-12-31,7.17,$3.87,1.85
2022-09-30,6.11,$3.81,1.6
2022-06-30,7.44,$3.23,2.3
2022-03-31,11.01,$2.42,4.55
2021-12-31,7.63,$2.02,3.78
2021-09-30,8.49,$1.47,5.78
2021-06-30,8.65,$1.10,7.87
2021-03-31,7.53,$0.61,12.35
2020-12-31,7.58,$0.21,36.11
2020-09-30,5.78,$0.79,7.32
2020-06-30,6.54,$1.12,5.84
2020-03-31,5.09,$1.65,3.08
2019-12-31,10.67,$2.06,5.18
2019-09-30,8.87,$1.86,4.77
2019-06-30,9.53,$2.02,4.72
2019-03-31,10.48,$1.94,5.4
2018-09-30,13.16,$1.68,7.83
2018-06-30,10.04,$1.44,6.97
2018-03-31,9.17,$0.97,9.45
2017-09-30,4.5,$0.57,7.89
2017-06-30,4.31,$0.40,10.78
2016-06-30,4.46,$0.18,24.77
2016-03-31,4.02,$0.05,80.32
2015-12-31,3.27,0,0.0
2015-09-30,4.01,$-0.12,0.0
2015-06-30,6.19,$0.42,14.73
2015-03-31,6.58,$1.15,5.72
2014-12-31,7.4,$1.96,3.77
2014-09-30,13.51,$2.71,4.99
2014-06-30,15.57,$3.19,4.88
2014-03-31,16.44,$3.29,5.0
2013-12-31,15.49,$3.40,4.56
2013-09-30,18.54,$3.78,4.9
2013-06-30,16.95,$3.62,4.68
2013-03-31,20.66,$3.78,5.47
2012-12-31,22.62,$4.06,5.57
2012-09-30,22.34,$4.25,5.26
2012-06-30,21.15,$4.50,4.7
2012-03-31,21.92,$4.51,4.86
2011-12-31,15.97,$4.25,3.76
2011-09-30,14.27,$3.65,3.91
2011-06-30,15.39,$3.00,5.13
2011-03-31,14.39,$2.47,5.82
2010-12-31,15.06,$2.06,7.31
2010-09-30,14.3,$1.89,7.56
2010-06-30,9.74,$1.45,6.72
2010-03-31,9.51,$1.00,9.51
2009-12-31,8.14,$0.65,12.53
