Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.47,,36.99
2024-06-30,35.73,$1.04,34.36
2024-03-31,37.82,$1.00,37.82
2023-12-31,38.25,$1.08,35.42
2023-09-30,33.28,$1.02,32.63
2023-06-30,34.25,$1.09,31.42
2023-03-31,31.94,$0.98,32.6
2022-12-31,30.19,$1.00,30.19
2022-09-30,26.27,$1.33,19.75
2022-06-30,28.19,$1.28,22.02
2022-03-31,37.35,$1.30,28.73
2021-12-31,42.94,$1.13,38.0
2021-09-30,34.86,$1.26,27.67
2021-06-30,32.96,$1.11,29.69
2021-03-31,29.3,$1.03,28.45
2020-12-31,27.0,$1.32,20.45
2020-09-30,25.98,$0.81,32.07
2020-06-30,24.7,$0.73,33.84
2020-03-31,18.73,$0.71,26.38
2019-12-31,25.91,$0.34,76.21
2019-09-30,23.92,$0.62,38.58
2019-06-30,24.24,$0.62,39.1
2019-03-31,23.48,$0.61,38.5
2018-12-31,19.46,$0.78,24.94
2018-09-30,21.31,$0.44,48.43
2018-06-30,20.83,$0.57,36.54
2018-03-31,18.05,$0.47,38.41
2017-12-31,20.32,$0.22,92.37
2017-09-30,20.17,$0.54,37.35
2017-06-30,20.01,$0.28,71.45
2017-03-31,17.9,$0.09,198.91
2016-12-31,16.84,$0.24,70.16
2016-09-30,17.03,$-0.46,0.0
2016-06-30,16.32,$-0.51,0.0
2016-03-31,13.73,$-0.43,0.0
2015-12-31,12.2,$-0.61,0.0
2015-09-30,11.83,$-0.37,0.0
2015-06-30,12.75,$-0.30,0.0
2015-03-31,14.76,$-0.28,0.0
2014-12-31,15.17,$-0.27,0.0
2014-09-30,12.65,$-0.14,0.0
2014-06-30,14.46,$-0.15,0.0
2014-03-31,14.32,$-0.11,0.0
2013-12-31,11.95,$-0.10,0.0
2013-09-30,11.62,$-0.25,0.0
2013-06-30,11.36,$-0.38,0.0
2013-03-31,11.93,$-0.43,0.0
2012-12-31,9.94,$-0.51,0.0
2012-09-30,8.86,$-0.57,0.0
2012-06-30,7.81,$-0.41,0.0
2012-03-31,7.34,$-0.56,0.0
