American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.11,,39.7
2024-06-30,36.93,$0.96,38.47
2024-03-31,36.28,$0.98,37.02
2023-12-31,35.22,$1.00,35.22
2023-09-30,32.8,$1.04,31.54
2023-06-30,34.31,$0.98,35.01
2023-03-31,30.25,$0.87,34.76
2022-12-31,28.77,$0.71,40.53
2022-09-30,31.15,$0.60,51.92
2022-06-30,33.48,$0.57,58.74
2022-03-31,37.61,$0.47,80.02
2021-12-31,40.78,$0.40,101.95
2021-09-30,35.56,$0.35,101.6
2021-06-30,36.15,$0.31,116.62
2021-03-31,30.95,$0.30,103.15
2020-12-31,27.76,$0.28,99.14
2020-09-30,26.31,$0.27,97.44
2020-06-30,24.81,$0.28,88.6
2020-03-31,21.36,$0.31,68.89
2019-12-31,24.08,$0.29,83.04
2019-09-30,23.74,$0.27,87.93
2019-06-30,22.25,$0.24,92.7
2019-03-31,20.75,$0.11,188.64
2018-12-31,18.09,$0.08,226.12
2018-09-30,19.95,$-0.06,0.0
2018-06-30,20.17,$-0.10,0.0
2018-03-31,18.22,$-0.05,0.0
2017-12-31,19.76,$-0.08,0.0
2017-09-30,19.6,$-0.01,0.0
2017-06-30,20.33,$-0.11,0.0
2017-03-31,20.63,$-0.15,0.0
2016-12-31,18.81,$-0.16,0.0
2016-09-30,19.36,$-0.25,0.0
2016-06-30,18.28,$-0.30,0.0
2016-03-31,14.15,$-0.34,0.0
2015-12-31,14.78,$-0.40,0.0
2015-09-30,14.22,$-0.39,0.0
2015-06-30,14.14,$-0.36,0.0
2015-03-31,14.55,$-0.35,0.0
2014-12-31,14.92,$-0.34,0.0
2014-09-30,14.76,$-0.33,0.0
2014-06-30,15.47,$-0.27,0.0
