XP PE Ratio Historical Data,XP PE Ratio Historical Data,XP PE Ratio Historical Data,XP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.16,,11.79
2024-06-30,17.59,$1.54,11.42
2024-03-31,25.66,$1.52,16.88
2023-12-31,26.07,$1.43,18.23
2023-09-30,22.32,$1.31,17.04
2023-06-30,22.2,$1.26,17.62
2023-03-31,11.23,$1.21,9.28
2022-12-31,14.52,$1.21,12.0
2022-09-30,17.99,$1.26,14.28
2022-06-30,17.0,$1.22,13.93
2022-03-31,28.48,$1.21,23.54
2021-12-31,27.2,$1.16,23.45
2021-09-30,38.01,$1.05,36.2
2021-06-30,41.21,$0.92,44.79
2021-03-31,35.65,$0.79,45.12
2020-12-31,37.54,$0.72,52.14
2020-09-30,39.45,$0.52,75.87
