Qualys PE Ratio Historical Data,Qualys PE Ratio Historical Data,Qualys PE Ratio Historical Data,Qualys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.43,,27.41
2024-06-30,142.6,$4.54,31.41
2024-03-31,166.87,$4.32,38.63
2023-12-31,196.28,$4.04,48.58
2023-09-30,152.55,$3.70,41.23
2023-06-30,129.17,$3.17,40.75
2023-03-31,130.02,$2.89,44.99
2022-12-31,112.23,$2.76,40.66
2022-09-30,139.39,$2.57,54.24
2022-06-30,126.14,$2.56,49.27
2022-03-31,142.41,$2.42,58.85
2021-12-31,137.22,$1.79,76.66
2021-09-30,111.29,$1.83,60.81
2021-06-30,100.69,$1.69,59.58
2021-03-31,104.78,$1.80,58.21
2020-12-31,121.87,$2.25,54.16
2020-09-30,98.01,$2.16,45.38
2020-06-30,104.02,$2.07,50.25
2020-03-31,86.99,$1.82,47.8
2019-12-31,83.37,$1.68,49.63
2019-09-30,75.57,$1.53,49.39
2019-06-30,87.08,$1.62,53.75
2019-03-31,82.74,$1.47,56.29
2018-12-31,74.74,$1.37,54.55
2018-09-30,89.1,$1.09,81.74
2018-06-30,84.3,$1.09,77.34
2018-03-31,72.75,$1.00,72.75
2017-12-31,59.35,$0.91,65.22
2017-03-31,37.9,$0.93,40.75
2016-12-31,31.65,$0.50,63.3
2016-09-30,38.19,$0.49,77.94
2016-06-30,29.81,$0.45,66.24
2016-03-31,25.31,$0.44,57.52
2015-12-31,33.09,$1.00,33.09
2015-06-30,40.35,$0.95,42.47
2015-03-31,46.48,$0.91,51.08
2014-12-31,37.75,$0.82,46.04
2014-09-30,26.6,$0.13,204.62
2014-06-30,25.67,$0.08,320.88
2014-03-31,25.43,$0.05,508.6
2013-12-31,23.11,$0.04,577.75
2013-09-30,21.39,$0.07,305.57
2013-06-30,16.12,$0.09,179.11
2013-03-31,12.34,$0.28,44.07
2012-12-31,14.79,$0.48,30.81
2012-09-30,14.16,$0.56,25.29
