Lazard PE Ratio Historical Data,Lazard PE Ratio Historical Data,Lazard PE Ratio Historical Data,Lazard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.59,,34.57
2024-06-30,38.18,$1.55,24.63
2024-03-31,41.87,$-0.35,0.0
2023-12-31,34.8,$-0.97,0.0
2023-09-30,30.48,$-1.18,0.0
2023-06-30,30.99,$-0.18,0.0
2023-03-31,31.52,$2.15,14.66
2022-12-31,32.58,$3.47,9.39
2022-09-30,29.49,$4.89,6.03
2022-06-30,29.63,$4.77,6.21
2022-03-31,31.09,$4.93,6.31
2021-12-31,38.85,$4.63,8.39
2021-09-30,40.38,$4.41,9.16
2021-06-30,39.51,$4.13,9.57
2021-03-31,37.61,$3.71,10.14
2020-12-31,36.16,$3.52,10.27
2020-09-30,27.88,$2.55,10.93
2020-06-30,23.79,$2.29,10.39
2020-03-31,19.24,$2.18,8.83
2019-12-31,32.28,$2.42,13.34
2019-09-30,27.93,$2.64,10.58
2019-06-30,27.09,$3.06,8.85
2019-03-31,28.47,$3.64,7.82
2018-12-31,28.34,$4.05,7.0
2018-09-30,36.57,$2.46,14.87
2018-06-30,36.86,$2.46,14.98
2018-03-31,39.28,$2.24,17.54
2017-12-31,38.03,$1.84,20.67
2017-09-30,32.47,$3.50,9.28
2017-06-30,32.97,$3.53,9.34
2017-03-31,32.42,$3.23,10.04
2016-12-31,27.94,$2.92,9.57
2016-09-30,24.48,$3.14,7.8
2016-06-30,19.83,$5.28,3.76
2016-03-31,25.56,$7.49,3.41
2015-12-31,28.22,$7.41,3.81
2015-09-30,26.95,$7.52,3.58
2015-06-30,34.78,$5.20,6.69
2015-03-31,32.31,$3.02,10.7
2014-12-31,29.96,$3.21,9.33
2014-09-30,30.17,$2.32,13.0
2014-06-30,30.51,$2.10,14.53
2014-03-31,27.69,$1.70,16.29
2013-12-31,26.47,$1.21,21.88
2013-09-30,20.78,$0.76,27.35
2013-06-30,18.42,$0.57,32.32
2013-03-31,19.41,$0.57,34.05
2012-12-31,16.97,$0.65,26.11
2012-09-30,16.31,$0.66,24.71
2012-06-30,14.39,$0.89,16.17
2012-03-31,15.7,$1.13,13.89
2011-12-31,14.27,$1.33,10.73
2011-09-30,11.47,$2.09,5.49
2011-06-30,20.06,$2.06,9.74
2011-03-31,22.39,$1.90,11.78
2010-12-31,21.21,$1.13,18.77
2010-09-30,18.77,$-0.79,0.0
2010-06-30,14.24,$-0.97,0.0
2010-03-31,18.97,$-0.95,0.0
2009-12-31,20.11,$-1.35,0.0
