Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.34,,23.65
2024-06-30,16.6,$0.86,19.3
2024-03-31,16.56,$0.82,20.19
2023-12-31,17.88,$0.72,24.83
2023-09-30,14.3,$0.03,476.52
2023-06-30,16.53,$-0.04,0.0
2023-03-31,18.03,$0.06,300.45
2022-12-31,16.57,$0.24,69.06
2022-09-30,14.81,$1.07,13.84
2022-06-30,16.68,$1.13,14.76
2022-03-31,22.91,$1.09,21.02
2021-12-31,17.67,$1.14,15.5
2021-09-30,16.71,$1.12,14.92
2021-06-30,19.05,$1.42,13.42
2021-03-31,18.18,$1.39,13.08
2020-12-31,20.81,$1.31,15.89
2020-09-30,25.58,$1.70,15.05
2020-06-30,24.45,$2.50,9.78
2020-03-31,16.58,$2.41,6.88
2019-12-31,16.76,$2.25,7.45
2019-09-30,15.58,$0.45,34.62
2019-06-30,14.15,$-1.20,0.0
2019-03-31,12.26,$-1.39,0.0
2018-12-31,12.11,$-1.31,0.0
2018-09-30,9.86,$-0.56,0.0
2018-06-30,11.65,$-0.22,0.0
2018-03-31,11.02,$0.79,13.95
2017-12-31,12.77,$1.23,10.38
2017-09-30,14.17,$1.86,7.62
2017-06-30,13.99,$2.02,6.93
2017-03-31,16.67,$1.21,13.78
2016-12-31,14.0,$0.56,25.01
2016-09-30,15.51,$-2.05,0.0
2016-06-30,18.67,$-2.43,0.0
2016-03-31,11.86,$-2.56,0.0
2015-12-31,6.44,$-2.44,0.0
2015-09-30,5.53,$-2.64,0.0
2015-06-30,9.24,$-2.30,0.0
2015-03-31,9.46,$-2.52,0.0
2014-12-31,9.25,$-2.49,0.0
2014-09-30,12.56,$-2.65,0.0
2014-06-30,15.63,$-2.59,0.0
2014-03-31,15.18,$-10.91,0.0
2013-12-31,14.98,$-10.14,0.0
2013-09-30,15.77,$-10.59,0.0
2013-06-30,13.3,$-10.14,0.0
2013-03-31,24.59,$-0.84,0.0
2012-12-31,29.1,$-0.66,0.0
2012-09-30,34.51,$3.36,10.27
2012-06-30,30.88,$4.10,7.53
2012-03-31,35.55,$4.51,7.88
2011-12-31,36.89,$4.48,8.23
2011-09-30,37.91,$4.42,8.58
2011-06-30,36.72,$3.90,9.42
2011-03-31,41.87,$3.53,11.86
2010-12-31,42.8,$3.29,13.01
2010-09-30,37.16,$2.60,14.29
2010-06-30,36.36,$-4.31,0.0
2010-03-31,30.56,$-4.54,0.0
2009-12-31,31.38,$-4.88,0.0
