US Foods Holding PE Ratio Historical Data,US Foods Holding PE Ratio Historical Data,US Foods Holding PE Ratio Historical Data,US Foods Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.0,,29.52
2024-06-30,52.98,$2.10,25.23
2024-03-31,53.97,$2.03,26.59
2023-12-31,45.41,$2.02,22.48
2023-09-30,39.7,$1.80,22.06
2023-06-30,44.0,$1.85,23.78
2023-03-31,36.94,$1.39,26.58
2022-12-31,34.02,$1.00,34.02
2022-09-30,26.44,$0.89,29.71
2022-06-30,30.68,$0.70,43.83
2022-03-31,37.63,$0.63,59.73
2021-12-31,34.83,$0.52,66.98
2021-09-30,34.66,$0.15,231.07
2021-06-30,38.36,$-0.10,0.0
2021-03-31,38.12,$-0.74,0.0
2020-12-31,33.31,$-1.16,0.0
2020-09-30,22.22,$-0.63,0.0
2020-06-30,19.72,$-0.14,0.0
2020-03-31,17.71,$0.83,21.34
2019-12-31,41.89,$1.75,23.94
2019-09-30,41.1,$1.79,22.96
2019-06-30,35.76,$1.83,19.54
2019-03-31,34.91,$1.88,18.57
2018-12-31,31.64,$1.87,16.92
2018-09-30,30.82,$2.56,12.04
2018-06-30,37.82,$2.46,15.37
2018-03-31,32.77,$2.17,15.1
2017-12-31,31.93,$1.98,16.13
2017-09-30,26.7,$1.17,22.82
2017-06-30,27.22,$1.34,20.31
2017-03-31,27.98,$0.98,28.55
