Magna PE Ratio Historical Data,Magna PE Ratio Historical Data,Magna PE Ratio Historical Data,Magna PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.28,,12.33
2024-06-30,41.42,$3.43,12.08
2024-03-31,53.32,$3.52,15.15
2023-12-31,57.33,$4.22,13.58
2023-09-30,51.59,$3.61,14.29
2023-06-30,53.86,$3.24,16.62
2023-03-31,50.67,$1.52,33.34
2022-12-31,52.7,$2.01,26.22
2022-09-30,44.16,$3.22,13.71
2022-06-30,50.77,$2.26,22.47
2022-03-31,59.01,$4.20,14.05
2021-12-31,73.81,$5.01,14.73
2021-09-30,68.28,$5.92,11.53
2021-06-30,83.61,$7.23,11.56
2021-03-31,79.1,$3.66,21.61
2020-12-31,63.29,$2.49,25.42
2020-09-30,40.63,$1.47,27.64
2020-06-30,39.14,$-0.63,0.0
2020-03-31,27.78,$2.96,9.38
2019-12-31,47.31,$5.49,8.62
2019-09-30,45.7,$5.43,8.42
2019-06-30,42.27,$7.80,5.42
2019-03-31,41.06,$8.15,5.04
2018-12-31,38.05,$6.59,5.77
2018-09-30,43.6,$6.75,6.46
2018-06-30,47.97,$6.49,7.39
2018-03-31,46.26,$6.20,7.46
2017-12-31,46.23,$5.90,7.84
2017-09-30,43.33,$5.61,7.72
2017-06-30,37.39,$5.54,6.75
2017-03-31,34.62,$5.47,6.33
2016-12-31,34.59,$5.16,6.7
2016-09-30,34.02,$5.09,6.68
2016-06-30,27.61,$5.22,5.29
2016-03-31,33.61,$4.97,6.76
2015-12-31,31.54,$4.87,6.48
2015-09-30,37.15,$4.92,7.55
2015-06-30,43.2,$4.60,9.4
2015-03-31,41.17,$4.60,8.96
2014-12-31,41.52,$4.36,9.53
2014-09-30,36.13,$4.15,8.71
2014-06-30,40.88,$3.75,10.9
2014-03-31,36.4,$3.48,10.46
2013-12-31,30.9,$3.39,9.13
2013-09-30,30.96,$3.12,9.94
2013-06-30,26.6,$3.25,8.18
2013-03-31,21.82,$3.10,7.04
2012-12-31,18.49,$3.05,6.07
2012-09-30,15.89,$2.96,5.37
2012-06-30,14.4,$2.34,6.16
2012-03-31,17.31,$2.18,7.96
2011-12-31,12.01,$2.10,5.73
2011-09-30,11.8,$1.88,6.29
2011-06-30,19.21,$2.18,8.81
2011-03-31,16.94,$2.25,7.52
2010-12-31,18.3,$2.10,8.73
2010-09-30,14.42,$1.34,10.74
2010-06-30,11.47,$0.94,12.21
2010-03-31,10.67,$-0.17,0.0
2009-12-31,8.73,$-1.11,0.0
