Smith & Nephew SNATS PE Ratio Historical Data,Smith & Nephew SNATS PE Ratio Historical Data,Smith & Nephew SNATS PE Ratio Historical Data,Smith & Nephew SNATS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.35,,inf
2024-06-30,24.54,0,0.0
2023-12-31,26.52,0,0.0
2023-06-30,30.97,0,0.0
2019-12-31,42.42,0,0.0
2019-06-30,38.18,0,0.0
2018-12-31,32.42,0,0.0
2018-06-30,32.3,0,0.0
2017-12-31,29.77,0,0.0
2017-06-30,29.44,0,0.0
2016-12-31,25.11,$0.36,69.74
2015-12-31,29.16,$0.59,49.43
2015-06-30,27.62,$0.59,46.82
2014-12-31,29.57,$0.79,37.43
2014-09-30,26.92,$0.77,35.14
2022-12-31,25.4,$0.90,28.35
2014-06-30,28.55,$1.16,24.52
2014-03-31,24.17,$1.25,19.37
2013-12-31,22.67,$1.23,18.46
2013-09-30,19.56,$1.18,16.52
2013-06-30,17.58,$0.92,19.19
2013-03-31,17.84,$0.93,19.14
2012-12-31,17.12,$1.27,13.46
2022-06-30,26.04,$1.32,19.79
2012-09-30,16.87,$1.63,10.36
2012-06-30,15.3,$1.63,9.4
2012-03-31,15.3,$1.31,11.66
2011-12-31,14.58,$1.30,11.22
2011-09-30,13.44,$0.99,13.61
2011-06-30,16.29,$1.10,14.86
2011-03-31,16.82,$1.06,15.93
2021-12-31,31.83,$1.02,31.33
2010-12-31,15.67,$1.38,11.39
2010-09-30,13.45,$1.26,10.71
2010-06-30,13.93,$1.24,11.19
2010-03-31,14.71,$1.20,12.22
2009-12-31,15.06,$0.84,17.85
2009-09-30,13.15,$0.78,16.95
2009-06-30,10.88,$0.49,22.3
2021-06-30,39.61,$0.22,180.04
