Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data,Avnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.45,,10.25
2024-06-30,51.15,$5.41,9.46
2024-03-31,48.98,$6.18,7.93
2023-12-31,49.46,$7.24,6.83
2023-09-30,46.98,$8.59,5.47
2023-06-30,48.87,$8.27,5.91
2023-03-31,43.5,$9.10,4.78
2022-12-31,39.76,$8.91,4.46
2022-09-30,34.31,$7.78,4.41
2022-06-30,40.44,$6.95,5.82
2022-03-31,38.08,$5.29,7.2
2021-12-31,38.43,$4.52,8.5
2021-09-30,34.24,$3.21,10.67
2021-06-30,36.89,$1.92,19.21
2021-03-31,38.02,$1.60,23.76
2020-12-31,31.98,$-0.76,0.0
2020-09-30,23.38,$-0.91,0.0
2020-06-30,25.03,$-0.32,0.0
2020-03-31,22.37,$-1.15,0.0
2019-12-31,37.56,$0.95,39.54
2019-09-30,39.17,$1.24,31.59
2019-06-30,39.67,$1.56,25.43
2019-03-31,37.83,$2.36,16.03
2018-12-31,31.34,$-1.13,0.0
2018-09-30,38.68,$-1.07,0.0
2018-06-30,36.9,$-1.32,0.0
2018-03-31,35.76,$-1.17,0.0
2017-12-31,33.78,$3.61,9.36
2017-09-30,33.36,$4.01,8.32
2017-06-30,32.85,$4.07,8.07
2017-03-31,38.47,$4.17,9.23
2016-12-31,39.87,$3.01,13.25
2016-09-30,34.26,$3.38,10.14
2016-06-30,33.66,$3.81,8.83
2016-03-31,36.66,$4.21,8.71
2015-12-31,35.31,$4.15,8.51
2015-09-30,35.04,$4.17,8.4
2015-06-30,33.62,$4.12,8.16
2015-03-31,36.26,$4.30,8.43
2014-12-31,34.93,$4.23,8.26
2014-09-30,33.57,$3.94,8.52
2014-06-30,35.71,$3.89,9.18
2014-03-31,37.38,$3.47,10.77
2013-12-31,35.31,$3.28,10.77
2013-09-30,33.26,$3.38,9.84
2013-06-30,26.69,$3.22,8.29
2013-03-31,28.76,$3.22,8.93
2012-12-31,24.32,$3.60,6.76
2012-09-30,23.11,$3.59,6.44
2012-06-30,24.52,$3.79,6.47
2012-03-31,28.91,$4.42,6.54
2011-12-31,24.7,$4.40,5.61
2011-09-30,20.72,$4.33,4.79
2011-06-30,25.33,$4.33,5.85
2011-03-31,27.08,$3.71,7.3
2010-12-31,26.24,$3.48,7.54
2010-09-30,21.46,$3.25,6.6
2010-06-30,19.16,$2.68,7.15
2010-03-31,23.83,$1.56,15.28
2009-12-31,23.96,$0.93,25.77
