Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data,Ryder System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,149.86,,13.72
2024-06-30,123.16,$10.92,11.28
2024-03-31,118.82,$12.26,9.69
2023-12-31,113.0,$15.19,7.44
2023-09-30,104.34,$17.17,6.08
2022-12-31,79.81,$17.05,4.68
2022-09-30,71.61,$16.22,4.41
2022-06-30,66.89,$14.34,4.66
2022-03-31,74.14,$12.21,6.07
2021-12-31,76.47,$11.63,6.58
2023-03-31,85.77,$9.23,9.29
2021-09-30,76.2,$6.77,11.26
2021-06-30,67.95,$4.88,13.92
2021-03-31,68.68,$0.69,99.54
2020-12-31,55.59,$-2.36,0.0
2020-09-30,37.65,$-3.86,0.0
2020-06-30,32.96,$-6.29,0.0
2020-03-31,22.81,$-3.44,0.0
2019-12-31,46.2,$-0.48,0.0
2019-09-30,43.58,$2.60,16.76
2019-06-30,48.51,$6.03,8.04
2019-03-31,51.1,$5.40,9.46
2018-12-31,39.36,$5.17,7.61
2018-09-30,59.15,$15.22,3.89
2018-06-30,57.77,$14.65,3.94
2018-03-31,58.06,$14.81,3.92
2017-12-31,66.69,$14.89,4.48
2017-09-30,66.59,$3.69,18.05
2017-06-30,56.33,$4.17,13.51
2017-03-31,58.63,$4.59,12.77
2016-12-31,57.52,$5.31,10.83
2016-09-30,50.68,$6.10,8.31
2016-06-30,46.67,$6.11,7.64
2015-12-31,42.81,$4.83,8.86
2015-09-30,55.44,$3.61,15.36
2015-06-30,65.1,$2.95,22.07
2015-03-31,70.43,$2.92,24.12
2014-12-31,68.65,$4.23,16.23
2016-03-31,49.15,$4.92,9.99
2014-09-30,66.25,$5.10,12.99
2014-06-30,64.59,$4.88,13.24
2014-03-31,58.36,$4.66,12.52
2013-12-31,53.62,$4.53,11.84
2013-09-30,43.17,$4.36,9.9
2013-06-30,43.7,$4.48,9.75
2013-03-31,42.74,$4.20,10.18
2012-12-31,35.52,$4.10,8.66
2012-09-30,27.59,$3.98,6.93
2012-06-30,25.25,$3.61,6.99
2012-03-31,36.77,$3.47,10.6
2011-12-31,36.81,$3.28,11.22
2011-09-30,25.84,$3.07,8.42
2011-06-30,38.89,$2.71,14.35
2011-03-31,34.45,$2.50,13.78
2010-12-31,35.64,$2.25,15.84
2010-09-30,28.78,$1.68,17.13
2010-06-30,26.89,$1.37,19.63
2010-03-31,25.76,$1.22,21.11
2009-12-31,27.17,$1.11,24.47
2009-09-30,25.62,$0.56,45.76
