Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.99,,86.93
2024-06-30,46.67,$0.46,101.46
2024-03-31,42.27,$0.58,72.88
2023-12-31,41.51,$0.66,62.9
2023-09-30,42.12,$0.91,46.29
2023-06-30,55.52,$0.99,56.08
2023-03-31,49.04,$1.00,49.04
2022-12-31,46.56,$1.23,37.85
2022-09-30,40.9,$1.21,33.81
2022-06-30,41.9,$1.46,28.7
2022-03-31,75.93,$1.55,48.98
2021-12-31,76.45,$1.56,49.01
2021-09-30,78.81,$1.65,47.76
2021-06-30,82.51,$1.70,48.54
2021-03-31,81.41,$1.26,64.61
2020-12-31,78.69,$0.99,79.49
2020-09-30,62.13,$1.06,58.62
2020-06-30,56.95,$0.81,70.31
2020-03-31,40.22,$1.10,36.57
2019-12-31,53.33,$1.17,45.58
2019-09-30,46.7,$0.97,48.14
2019-06-30,45.55,$1.18,38.61
2019-03-31,48.24,$1.22,39.54
2018-12-31,36.64,$1.24,29.55
2018-09-30,52.83,$0.82,64.42
2018-06-30,42.18,$0.94,44.87
2018-03-31,49.11,$0.94,52.53
2017-12-31,57.73,$0.98,58.9
2017-09-30,52.03,$1.36,38.4
2017-06-30,40.02,$1.09,36.72
2017-03-31,39.54,$1.02,38.76
2016-12-31,29.93,$0.85,35.22
2016-09-30,24.84,$0.75,33.34
2016-06-30,20.22,$1.04,19.54
2016-03-31,18.24,$1.04,17.63
2015-12-31,15.79,$1.07,14.83
2015-09-30,16.05,$1.11,14.52
2015-06-30,22.4,$0.80,28.18
2015-03-31,23.06,$0.70,33.18
2014-12-31,19.22,$0.69,28.06
2014-09-30,18.73,$0.65,28.81
2014-06-30,17.86,$0.48,37.21
2014-03-31,15.75,$0.43,36.62
2013-12-31,17.76,$0.42,42.79
2013-09-30,14.55,$0.40,36.84
2013-06-30,10.52,$0.38,27.49
2013-03-31,9.8,$0.40,24.5
2012-12-31,8.56,$0.39,21.8
2012-09-30,7.78,$0.41,19.09
2012-06-30,7.1,$0.41,17.32
2012-03-31,9.47,$0.41,23.11
2011-12-31,7.99,$0.41,19.6
2011-09-30,6.03,$0.42,14.53
2011-06-30,7.86,$0.42,18.6
2011-03-31,6.25,$0.41,15.44
2010-12-31,6.49,$0.38,17.08
2010-09-30,5.9,$0.27,22.27
2010-06-30,3.86,$0.18,21.43
2010-03-31,4.04,$0.05,89.85
2009-12-31,3.86,$-0.03,0.0
