Merit Medical Systems PE Ratio Historical Data,Merit Medical Systems PE Ratio Historical Data,Merit Medical Systems PE Ratio Historical Data,Merit Medical Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,95.27,,47.64
2024-06-30,85.95,$2.00,42.98
2024-03-31,75.75,$1.74,43.53
2023-12-31,75.96,$1.62,46.89
2023-09-30,69.02,$1.73,39.9
2023-06-30,83.64,$1.56,53.62
2023-03-31,73.95,$1.48,49.97
2022-12-31,70.62,$1.30,54.32
2022-09-30,56.51,$1.08,52.32
2022-06-30,54.27,$1.02,53.21
2022-03-31,66.52,$0.84,79.19
2021-12-31,62.3,$0.93,66.99
2021-09-30,71.8,$0.52,138.08
2021-06-30,64.66,$-0.03,0.0
2020-12-31,55.51,$-0.18,0.0
2020-09-30,43.5,$-0.53,0.0
2020-06-30,45.65,$-0.54,0.0
2020-03-31,31.25,$-0.08,0.0
2019-12-31,31.22,$0.09,346.89
2019-09-30,30.46,$0.33,92.3
2019-06-30,59.56,$0.69,86.32
2019-03-31,61.83,$0.78,79.27
2018-12-31,55.81,$0.77,72.48
2018-09-30,61.45,$0.74,83.04
2018-06-30,51.2,$0.37,138.38
2018-03-31,45.35,$0.35,129.57
2017-12-31,43.2,$0.57,75.79
2017-09-30,42.35,$0.61,69.43
2017-06-30,38.15,$0.70,54.5
2017-03-31,28.9,$0.67,43.13
2016-12-31,26.5,$0.45,58.89
2016-09-30,24.29,$0.42,57.83
2016-06-30,19.83,$0.51,38.88
2016-03-31,18.49,$0.52,35.56
2015-12-31,18.59,$0.54,34.43
2015-09-30,23.91,$0.60,39.85
2015-06-30,21.54,$0.67,32.15
2015-03-31,19.25,$0.59,32.63
2014-12-31,17.33,$0.54,32.09
2014-09-30,11.88,$0.49,24.24
2014-06-30,15.1,$0.44,34.32
2014-03-31,14.3,$0.44,32.5
2013-12-31,15.74,$0.39,40.36
2013-09-30,12.13,$0.25,48.52
2013-06-30,11.15,$0.29,38.45
2013-03-31,12.26,$0.34,36.06
2012-12-31,13.9,$0.46,30.22
2012-09-30,14.93,$0.57,26.19
2012-06-30,13.81,$0.51,27.08
2012-03-31,12.42,$0.55,22.58
2011-12-31,13.38,$0.59,22.53
2011-09-30,13.14,$0.59,22.12
2011-06-30,17.97,$0.43,41.99
2011-03-31,15.7,$0.41,38.47
2010-12-31,12.66,$0.35,35.98
2010-09-30,12.71,$0.38,33.81
2010-06-30,12.86,$0.62,20.67
2010-03-31,12.2,$0.63,19.37
2009-12-31,15.39,$0.67,22.97
2021-03-31,59.88,$0.68,88.32
