TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data,TXNM Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.51,,47.81
2024-06-30,36.61,$0.91,40.23
2024-03-31,36.89,$0.91,40.54
2023-12-31,40.77,$1.03,39.59
2023-09-30,43.72,$1.79,24.43
2023-06-30,43.84,$2.77,15.83
2023-03-31,47.32,$2.42,19.55
2022-12-31,47.07,$1.97,23.89
2022-09-30,44.12,$1.92,22.98
2022-06-30,46.1,$1.82,25.33
2022-03-31,45.99,$2.26,20.35
2021-12-31,43.66,$2.27,19.23
2021-09-30,47.06,$2.25,20.91
2021-06-30,46.38,$2.45,18.93
2021-03-31,46.34,$2.55,18.17
2020-12-31,45.55,$2.16,21.09
2020-09-30,38.55,$2.45,15.74
2020-06-30,35.86,$2.21,16.22
2020-03-31,35.44,$0.54,65.64
2019-12-31,47.03,$0.96,48.99
2019-09-30,48.3,$-0.13,0.0
2019-06-30,46.94,$-0.32,0.0
2019-03-31,43.65,$1.11,39.32
2018-12-31,37.89,$1.07,35.41
2018-09-30,36.12,$1.08,33.45
2018-06-30,35.38,$0.91,38.88
2018-03-31,34.56,$0.90,38.4
2017-12-31,36.28,$1.00,36.28
2017-09-30,35.94,$1.99,18.06
2017-06-30,34.11,$1.75,19.49
2017-03-31,33.0,$1.62,20.37
2016-12-31,30.59,$1.46,20.95
2016-09-30,28.98,$0.00,0.0
2016-06-30,31.39,$0.08,392.38
2016-03-31,29.87,$0.14,213.34
2015-12-31,27.08,$0.19,142.51
2015-09-30,24.85,$1.58,15.72
2015-06-30,21.62,$1.51,14.32
2015-03-31,25.49,$1.47,17.34
2014-12-31,25.7,$1.45,17.72
2014-09-30,21.46,$1.31,16.38
2014-06-30,25.27,$1.30,19.44
2014-03-31,23.29,$1.28,18.19
2013-12-31,20.78,$1.25,16.62
2013-09-30,19.36,$1.26,15.37
2013-06-30,18.85,$1.30,14.5
2013-03-31,19.65,$1.23,15.97
2012-12-31,17.18,$1.31,13.11
2012-09-30,17.5,$2.55,6.86
2012-06-30,16.15,$2.31,6.99
2012-03-31,15.12,$2.08,7.27
2011-12-31,14.84,$2.05,7.24
2011-09-30,13.28,$-0.48,0.0
2011-06-30,13.43,$-0.43,0.0
2011-03-31,11.87,$-0.22,0.0
2010-12-31,10.26,$-0.49,0.0
2010-09-30,8.88,$0.50,17.76
2010-06-30,8.62,$0.56,15.4
2010-03-31,9.66,$0.29,33.33
2009-12-31,9.56,$1.42,6.73
