Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data,Under Armour PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.48,,0.0
2024-06-30,6.67,$-0.18,0.0
2024-03-31,7.38,$0.54,13.67
2023-12-31,8.79,$0.90,9.77
2023-09-30,6.85,$0.91,7.53
2023-06-30,7.22,$0.86,8.4
2023-03-31,9.49,$0.86,11.03
2022-12-31,10.16,$0.35,29.03
2022-09-30,6.65,$0.08,83.13
2022-06-30,8.33,$0.13,64.08
2022-03-31,17.02,$0.24,70.92
2021-12-31,21.19,$0.54,39.24
2021-09-30,20.18,$0.54,37.37
2021-06-30,21.15,$0.39,54.23
2021-03-31,22.16,$-0.14,0.0
2020-12-31,17.17,$-1.61,0.0
2020-09-30,11.23,$-1.61,0.0
2020-06-30,9.74,$-1.47,0.0
2020-03-31,9.21,$-1.11,0.0
2019-12-31,21.6,$0.24,90.0
2019-09-30,19.94,$0.41,48.63
2019-06-30,25.35,$-0.03,0.0
2019-03-31,21.14,$-0.06,0.0
2018-09-30,21.22,$-0.11,0.0
2018-06-30,22.48,$-0.16,0.0
2018-03-31,16.35,$0.02,817.5
2017-12-31,14.43,$0.08,180.38
2017-09-30,16.48,$0.37,44.54
2017-06-30,21.76,$0.13,167.38
2017-03-31,19.78,$0.20,98.9
2016-09-30,38.68,$0.21,184.19
2016-06-30,40.13,$0.15,267.53
2016-03-31,42.42,$0.31,138.52
2015-12-31,40.31,$0.29,138.03
2015-09-30,48.39,$0.50,96.05
2015-06-30,41.72,$0.32,132.4
2015-03-31,40.38,$0.31,130.28
2014-09-30,34.55,$0.28,121.61
2014-06-30,29.75,$0.25,119.99
2014-03-31,28.66,$0.25,115.61
2013-12-31,21.83,$0.24,92.87
2013-09-30,19.86,$0.37,53.04
2013-06-30,14.93,$0.21,69.62
2013-03-31,12.8,$0.21,61.16
2012-09-30,13.96,$0.19,73.0
2012-06-30,11.81,$0.17,71.4
2012-03-31,11.75,$0.17,71.04
2011-12-31,8.97,$0.16,56.47
2011-09-30,8.3,$0.16,52.24
2011-06-30,9.66,$0.13,72.66
2011-03-31,8.51,$0.13,67.24
2010-12-31,6.86,$0.11,59.66
2010-09-30,5.63,$0.11,49.0
2010-06-30,4.14,$0.09,43.92
2010-03-31,3.68,$0.09,41.21
2009-12-31,3.41,$0.08,41.88
2009-09-30,3.48,$0.08,42.74
2009-06-30,2.8,$0.01,197.01
2009-03-31,2.05,$0.01,199.4
2014-12-31,33.95,0,0.0
