Valmont Industries PE Ratio Historical Data,Valmont Industries PE Ratio Historical Data,Valmont Industries PE Ratio Historical Data,Valmont Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,310.38,,37.44
2024-06-30,273.88,$8.29,33.04
2024-03-31,227.31,$7.59,29.95
2023-12-31,231.9,$6.74,34.41
2023-09-30,237.94,$7.22,32.96
2023-06-30,287.59,$12.88,22.33
2023-03-31,314.84,$12.20,25.81
2022-12-31,325.46,$11.63,27.98
2022-09-30,263.95,$11.02,23.95
2022-06-30,220.27,$10.08,21.85
2022-03-31,233.38,$9.44,24.72
2021-12-31,244.46,$9.11,26.83
2021-09-30,228.98,$9.54,24.0
2021-06-30,229.41,$8.98,25.55
2021-03-31,230.48,$7.15,32.24
2020-12-31,169.28,$6.57,25.77
2020-09-30,119.86,$6.55,18.3
2020-06-30,109.25,$6.56,16.65
2020-03-31,101.48,$7.40,13.71
2019-12-31,142.77,$7.07,20.19
2019-09-30,131.63,$6.21,21.2
2019-06-30,120.25,$4.56,26.37
2019-03-31,122.99,$4.12,29.85
2018-12-31,104.59,$4.18,25.02
2018-09-30,130.11,$3.22,40.41
2018-06-30,141.23,$4.57,30.9
2018-03-31,136.72,$5.12,26.7
2017-12-31,154.58,$5.12,30.19
2017-09-30,147.03,$8.38,17.55
2017-06-30,138.8,$8.07,17.2
2017-03-31,143.91,$7.91,18.19
2016-12-31,130.08,$7.64,17.03
2016-09-30,123.91,$3.20,38.72
2016-06-30,124.2,$2.48,50.08
2016-03-31,113.39,$1.82,62.3
2015-12-31,96.78,$1.65,58.65
2015-09-30,86.32,$4.65,18.56
2015-06-30,107.73,$5.05,21.33
2015-03-31,111.03,$6.24,17.79
2014-12-31,114.39,$7.04,16.25
2014-09-30,121.18,$7.42,16.33
2014-06-30,136.08,$8.60,15.82
2014-03-31,132.96,$9.55,13.92
2013-12-31,132.98,$10.36,12.84
2013-09-30,123.67,$10.75,11.5
2013-06-30,127.18,$10.77,11.81
2013-03-31,139.53,$9.68,14.41
2012-12-31,120.8,$8.75,13.81
2012-09-30,116.13,$10.65,10.9
2012-06-30,106.64,$10.12,10.54
2012-03-31,103.3,$9.60,10.76
2011-12-31,79.75,$8.61,9.26
2011-09-30,68.33,$5.60,12.2
2011-06-30,84.33,$4.99,16.9
2011-03-31,91.13,$3.92,23.25
2010-12-31,77.33,$3.57,21.66
2010-09-30,62.98,$3.39,18.58
2010-06-30,63.06,$3.94,16.0
2010-03-31,71.72,$4.98,14.4
2009-12-31,67.81,$5.73,11.83
