Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data,Main Street Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.96,,9.71
2024-06-30,49.22,$5.35,9.2
2024-03-31,45.39,$5.48,8.28
2023-12-31,40.55,$5.22,7.77
2023-09-30,37.22,$4.94,7.53
2023-06-30,35.82,$4.43,8.08
2023-03-31,34.51,$3.31,10.43
2022-12-31,31.63,$3.22,9.82
2022-09-30,28.2,$3.19,8.84
2022-06-30,31.72,$3.67,8.64
2022-03-31,34.47,$4.86,7.09
2021-12-31,35.67,$4.79,7.45
2021-09-30,32.31,$4.64,6.96
2021-06-30,31.82,$4.60,6.92
2021-03-31,29.88,$3.87,7.72
2020-12-31,24.04,$0.37,64.98
2020-09-30,21.74,$-0.57,0.0
2020-06-30,22.44,$-1.21,0.0
2020-03-31,14.48,$-1.26,0.0
2019-12-31,29.85,$2.07,14.42
2019-09-30,29.33,$1.98,14.81
2019-06-30,27.51,$2.57,10.7
2019-03-31,24.37,$2.89,8.43
2018-12-31,21.8,$2.81,7.76
2018-09-30,24.25,$3.70,6.55
2018-06-30,23.63,$3.18,7.43
2018-03-31,22.41,$3.01,7.44
2017-12-31,23.76,$2.99,7.95
2017-09-30,23.28,$2.84,8.2
2017-06-30,22.21,$3.05,7.28
2017-03-31,21.63,$2.89,7.48
2016-12-31,20.47,$2.65,7.73
2016-09-30,18.68,$1.90,9.83
2016-06-30,17.59,$1.49,11.8
2016-03-31,16.36,$1.71,9.57
2015-12-31,14.89,$2.15,6.93
2015-09-30,13.29,$2.49,5.34
2015-06-30,15.63,$2.56,6.1
2015-03-31,14.75,$2.42,6.09
2014-12-31,13.72,$2.33,5.89
2014-09-30,14.0,$2.37,5.91
2014-06-30,14.81,$2.65,5.59
2014-03-31,14.42,$2.66,5.42
2013-12-31,14.15,$2.66,5.32
2013-09-30,12.66,$2.89,4.38
2013-06-30,11.45,$3.14,3.65
2013-03-31,13.06,$3.33,3.92
2012-12-31,12.11,$3.54,3.42
2012-09-30,11.54,$3.57,3.23
2012-06-30,9.31,$3.18,2.93
2012-03-31,9.31,$2.71,3.44
2011-12-31,7.89,$2.36,3.34
2011-09-30,6.46,$1.91,3.38
2011-06-30,6.75,$1.57,4.3
2011-03-31,6.43,$1.47,4.37
2010-12-31,6.17,$1.15,5.37
2010-09-30,5.31,$1.04,5.11
2010-06-30,4.87,$1.01,4.82
2010-03-31,4.97,$0.91,5.46
2009-12-31,4.97,$0.92,5.4
