American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.66,,29.43
2024-06-30,18.62,$0.77,24.18
2024-03-31,17.58,$0.76,23.13
2023-12-31,18.02,$0.71,25.38
2023-09-30,16.56,$0.72,23.0
2023-06-30,15.55,$0.72,21.6
2023-03-31,16.66,$0.71,23.46
2022-12-31,17.2,$0.71,24.23
2022-09-30,16.03,$0.70,22.9
2022-06-30,17.49,$0.69,25.35
2022-03-31,23.27,$0.70,33.24
2021-12-31,23.66,$0.68,34.79
2021-09-30,20.62,$0.67,30.77
2021-06-30,19.63,$0.65,30.21
2021-03-31,17.17,$0.61,28.14
2020-12-31,15.54,$0.59,26.34
2020-09-30,12.53,$0.57,21.98
2020-06-30,8.77,$0.55,15.94
2020-03-31,7.35,$0.55,13.36
2019-12-31,9.24,$0.54,17.1
2019-09-30,10.05,$0.51,19.71
2019-06-30,9.46,$0.51,18.54
2019-03-31,9.53,$0.51,18.86
2018-12-31,8.25,$0.51,16.34
2018-09-30,8.73,$0.56,15.58
2018-06-30,8.34,$0.56,15.02
2018-03-31,7.47,$0.55,13.58
2017-12-31,6.79,$0.54,12.57
2017-09-30,6.02,$0.49,12.42
2017-06-30,6.2,$0.48,12.92
2017-03-31,6.43,$0.47,13.67
2016-12-31,6.03,$0.47,12.97
2016-09-30,6.35,$0.46,13.81
2016-06-30,7.19,$0.46,15.79
2016-03-31,7.57,$0.45,16.83
2015-12-31,6.67,$0.45,14.99
2015-09-30,7.54,$0.45,16.93
2015-06-30,6.26,$0.44,14.18
2015-03-31,6.82,$0.44,15.46
2014-12-31,6.12,$0.44,13.98
2014-09-30,5.84,$0.42,13.77
2014-06-30,5.19,$0.40,13.09
2014-03-31,5.16,$0.38,13.49
2013-12-31,5.39,$0.37,14.42
2013-09-30,4.56,$0.37,12.39
2013-06-30,3.9,$0.38,10.33
2013-03-31,5.04,$0.38,13.36
2012-12-31,3.96,$0.38,10.38
2012-09-30,4.51,$0.39,11.68
2012-06-30,4.19,$0.38,10.95
2012-03-31,5.23,$0.38,13.94
2011-12-31,4.71,$0.36,13.04
2011-09-30,4.66,$0.35,13.39
2011-06-30,5.95,$0.34,17.55
2011-03-31,6.49,$0.33,19.88
2010-12-31,6.89,$0.32,21.85
2010-09-30,6.01,$0.30,19.85
2010-06-30,5.35,$0.29,18.36
2010-03-31,5.22,$0.29,18.07
2009-12-31,4.91,$0.28,17.36
