Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data,Texas Roadhouse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,182.3,,33.09
2024-06-30,171.09,$5.51,31.05
2024-03-31,153.37,$4.94,31.05
2023-12-31,120.87,$4.53,26.68
2023-09-30,94.57,$4.34,21.79
2023-06-30,109.9,$4.32,25.44
2023-03-31,105.25,$4.17,25.24
2022-12-31,88.12,$3.97,22.2
2022-09-30,84.14,$3.84,21.91
2022-06-30,70.21,$3.66,19.18
2022-03-31,79.86,$3.67,21.76
2021-12-31,84.63,$2.87,29.49
2021-09-30,86.17,$2.53,34.06
2021-06-30,90.38,$1.30,69.53
2020-12-31,73.14,$0.45,162.52
2020-09-30,56.88,$0.78,72.93
2020-06-30,49.19,$1.27,38.73
2020-03-31,38.65,$2.27,17.02
2019-12-31,52.32,$2.67,19.6
2021-03-31,89.77,$2.76,32.53
2019-09-30,48.53,$2.27,21.38
2019-06-30,49.32,$2.15,22.94
2019-03-31,56.84,$2.14,26.56
2018-12-31,54.56,$2.20,24.8
2018-09-30,63.07,$2.18,28.93
2018-06-30,59.43,$2.21,26.89
2018-03-31,52.21,$2.12,24.63
2017-12-31,47.4,$1.84,25.76
2017-09-30,44.04,$1.73,25.45
2017-06-30,45.46,$1.66,27.39
2017-03-31,39.57,$1.60,24.73
2016-12-31,42.64,$1.62,26.32
2016-09-30,34.37,$1.65,20.83
2016-06-30,39.98,$1.58,25.31
2016-03-31,38.05,$1.41,26.99
2015-12-31,31.09,$1.37,22.7
2015-09-30,32.18,$1.31,24.56
2015-06-30,32.23,$1.29,24.99
2015-03-31,31.23,$1.32,23.66
2014-12-31,28.8,$1.23,23.42
2014-09-30,23.65,$1.21,19.54
2014-06-30,21.96,$1.18,18.61
2014-03-31,21.9,$1.13,19.38
2013-12-31,23.21,$1.13,20.54
2013-09-30,21.86,$1.08,20.24
2013-06-30,20.7,$1.09,18.99
2013-03-31,16.62,$1.09,15.25
2012-12-31,13.75,$0.99,13.88
2012-09-30,13.83,$0.97,14.26
2012-06-30,14.8,$0.94,15.75
2012-03-31,13.32,$0.88,15.14
2011-12-31,11.87,$0.88,13.48
2011-09-30,10.47,$0.85,12.32
2011-06-30,13.81,$0.82,16.84
2011-03-31,13.31,$0.81,16.43
2010-12-31,13.39,$0.81,16.53
2010-09-30,10.95,$0.79,13.87
2010-06-30,9.84,$0.75,13.12
2010-03-31,10.83,$0.73,14.84
2009-12-31,8.76,$0.66,13.27
