Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data,Westlake PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,140.18,,67.39
2024-06-30,144.29,$2.08,69.37
2024-03-31,151.77,$1.99,76.27
2023-12-31,138.51,$3.70,37.44
2023-09-30,122.91,$9.35,13.14
2023-06-30,117.33,$10.25,11.45
2023-03-31,113.55,$14.54,7.81
2022-12-31,100.09,$17.32,5.78
2022-09-30,84.52,$20.51,4.12
2022-06-30,95.04,$22.10,4.3
2022-03-31,119.36,$19.54,6.11
2021-12-31,93.7,$15.58,6.01
2021-09-30,87.65,$11.47,7.64
2021-06-30,86.34,$7.23,11.94
2021-03-31,84.86,$3.30,25.72
2020-12-31,77.75,$2.56,30.37
2020-09-30,60.02,$2.25,26.68
2020-06-30,50.71,$3.02,16.79
2020-03-31,35.86,$3.83,9.36
2019-12-31,65.62,$3.25,20.19
2019-09-30,61.06,$3.64,16.78
2019-06-30,64.44,$4.77,13.51
2019-03-31,62.69,$5.97,10.5
2018-12-31,60.92,$7.62,7.99
2018-09-30,76.24,$12.82,5.95
2018-06-30,98.48,$12.08,8.15
2018-03-31,101.52,$11.13,9.12
2017-12-31,97.12,$9.99,9.72
2017-09-30,75.58,$4.60,16.43
2017-06-30,60.06,$3.50,17.16
2017-03-31,59.74,$3.18,18.79
2016-12-31,50.49,$2.96,17.06
2016-09-30,48.07,$3.59,13.39
2016-06-30,38.43,$4.62,8.32
2015-12-31,48.23,$4.87,9.9
2015-09-30,45.93,$5.40,8.51
2015-06-30,60.5,$4.95,12.22
2015-03-31,63.3,$4.66,13.58
2014-12-31,53.62,$4.82,11.13
2016-03-31,41.28,$4.63,8.92
2014-09-30,75.81,$4.96,15.28
2014-06-30,73.21,$4.98,14.7
2014-03-31,57.75,$4.81,12.02
2013-12-31,53.21,$4.55,11.71
2013-09-30,45.53,$3.99,11.43
2013-06-30,41.85,$3.37,12.44
2013-03-31,40.5,$3.14,12.9
2012-12-31,34.28,$2.42,14.16
2012-09-30,29.98,$2.22,13.53
2012-06-30,21.38,$2.17,9.85
2011-12-31,16.42,$1.94,8.49
2011-09-30,13.97,$2.37,5.91
2011-06-30,21.11,$2.52,8.4
2011-03-31,22.84,$2.39,9.58
2010-12-31,17.64,$2.19,8.06
2012-03-31,26.48,$1.70,15.62
2010-09-30,12.13,$1.14,10.69
2010-06-30,7.51,$0.89,8.48
2010-03-31,10.4,$0.59,17.77
2009-12-31,10.02,$0.41,24.75
