Clarivate PE Ratio Historical Data,Clarivate PE Ratio Historical Data,Clarivate PE Ratio Historical Data,Clarivate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.7,,0.0
2024-06-30,5.69,$-1.91,0.0
2024-03-31,7.43,$-1.66,0.0
2023-12-31,9.26,$-1.48,0.0
2023-09-30,6.71,$0.26,25.81
2023-06-30,9.53,$-6.37,0.0
2023-03-31,9.39,$-6.10,0.0
2022-12-31,8.34,$-6.20,0.0
2022-09-30,9.39,$-6.84,0.0
2022-06-30,13.86,$-0.20,0.0
2022-03-31,16.76,$-0.39,0.0
2021-12-31,23.52,$-0.37,0.0
2021-09-30,21.9,$-0.16,0.0
2021-06-30,27.53,$-0.26,0.0
2021-03-31,26.39,$-0.13,0.0
2020-12-31,29.71,$-0.31,0.0
2020-09-30,30.99,$-0.60,0.0
2020-06-30,22.33,$-0.47,0.0
2020-03-31,20.75,$-0.76,0.0
2019-12-31,16.8,$-36.54,0.0
2019-09-30,16.87,$-36.26,0.0
